product_id,product_name,category,mrp,selling_price,brand,unit
30104,Odio 1L,Baby Care,800.44,775.28,Tank-Mohanty,PC
30105,Maiores 500g,Household,680.01,531.29,"Shah, Bandi and Mallick",Kg
30106,Animi Combo,Fruits & Vegetables,10.68,8.42,Bhalla-Mani,L
30107,Soluta Combo,Baby Care,258.2,208.33,Singhal-Mukherjee,L
30108,Facilis Box,Pet Supplies,521.04,436.88,Pathak Group,ml
30109,Neque Box,Baby Care,1130.91,1022.94,"Patel, Misra and Date",pc
30110,Esse Jar,Atta Rice & Dal,20.28,17.44,Kumer and Sons,PC
30111,Quis Pack,Fruits & Vegetables,879.1,867.44,Mallick-Rama,Kg
30112,Rem Combo,Atta Rice & Dal,638.18,575.83,"Hayre, Hari and Wali",Kg
30113,Ea 500g,Dairy & Breakfast,1197.25,1128.84,"Sarkar, Manda and Venkataraman",kg
30114,Et Combo,Instant Food,638.78,,"Chokshi, Dave and Deshpande",g
30115,Est Pack,Household,185.47,165.74,"Bajaj, Basu and Lall",pc
30116,Amet 1L,Baby Care,1145.07,863.68,"Vora, Chawla and Patel",pc
30117,Facere Jar,Atta Rice & Dal,516.92,445.94,"Loke, Sethi and Krishnamurthy",L
30118,Culpa Pack,Instant Food,259.42,221.95,"Sahota, Varty and Prasad",PC
30119,Aperiam Pack,Instant Food,876.47,680.08,Subramaniam Inc,PC
30120,Iusto 500g,Pet Supplies,129.94,98.55,"Bansal, Manda and Khare",g
30121,Repudiandae Combo,Bakery,233.0,171.51,"Brahmbhatt, Rajagopalan and Koshy",Kg
30122,Officia 500g,Fruits & Vegetables,,,"Bora, Vohra and Chahal",L
30123,Explicabo Jar,Fruits & Vegetables,160.58,116.89,Kakar LLC,g
30124,Id Jar,Fruits & Vegetables,699.27,490.52,Saran and Sons,PC
30125,Voluptatem 1L,Dairy & Breakfast,1116.81,1025.58,Morar-Bhatnagar,L
30126,Quia Pack,Personal Care,360.15,307.77,Ratti-Mammen,Kg
30127,In Combo,Pet Supplies,152.28,108.81,Apte-Dutt,pc
30128,Numquam Pack,Instant Food,25.64,19.66,Choudhary-Gokhale,pc
30129,Minima 1L,Baby Care,146.92,111.76,Hegde Inc,ml
30130,Fuga 1L,Household,1000.86,904.7,Swamy-Arora,Kg
30131,Distinctio Pack,Pet Supplies,1147.21,863.54,Varty and Sons,L
30132,Vero 1L,Fruits & Vegetables,165.21,138.82,Saran-Kakar,L
30133,Amet 500g,Pet Supplies,809.73,610.09,"Wable, Kota and Bhagat",g
30134,Quia Pack,Pet Supplies,130.53,104.42,"Keer, Parekh and Majumdar",g
30135,Distinctio Pack,Bakery,1035.49,851.78,Kaur PLC,g
30136,Maiores 1L,Household,690.86,531.44,Batra-Parsa,PC
30137,Facere Combo,Pet Supplies,277.31,258.24,Wagle Group,PC
30138,Ipsam Jar,Household,627.74,611.09,Sehgal-Saini,L
30139,Fuga Combo,Snacks,1073.52,803.08,"Gulati, Modi and Yogi",PC
30140,Ipsum 500g,Instant Food,172.28,126.02,Morar-Dhawan,PC
30141,Doloribus Jar,Bakery,605.48,457.08,Pai Inc,Kg
30142,Odit Box,Fruits & Vegetables,215.35,213.54,"Dutta, Wagle and Kar",ml
30143,Sint Combo,Pet Supplies,689.4,541.37,Keer-Ramanathan,PC
30144,Odio 1L,Instant Food,697.46,599.03,Kamdar Inc,ml
30145,Tempora Combo,Baby Care,802.8,730.42,Bava-Nayar,ml
30146,Tempora Box,Fruits & Vegetables,531.59,492.98,Tata-Morar,pc
30147,Incidunt 1L,Dairy & Breakfast,315.16,279.47,Kaur-Roy,L
30148,Necessitatibus Jar,Atta Rice & Dal,967.31,900.02,Andra-Goyal,PC
30149,Eum Jar,Household,947.74,776.4,"Nadkarni, Nadkarni and Hayer",PC
30150,Iusto 1L,Meat & Seafood,596.35,518.11,Sabharwal Group,Kg
30151,Magni 500g,Meat & Seafood,1085.86,1043.35,"Chanda, Badami and Sabharwal",pc
30152,Veniam Box,Snacks,170.31,140.5,Warrior-Khurana,PC
30153,Molestias 1L,Pet Supplies,819.68,618.44,"Kuruvilla, Gill and Tara",pc
30154,Iste Pack,Beverages,468.43,403.89,"Tella, Borra and Bhakta",L
30155,Doloribus Pack,Instant Food,647.69,532.8,,PC
30156,Necessitatibus Jar,Snacks,321.96,244.21,Khurana and Sons,g
30157,Porro Jar,Bakery,67.32,,Halder LLC,pc
30158,Error Jar,Beverages,957.63,746.93,"Bedi, Mitra and Garg",Kg
30159,Laudantium 500g,Personal Care,920.04,740.55,"Boase, Tata and Patla",L
30160,Molestiae Box,Household,1102.76,1095.8,"Dhingra, Hora and Sami",Kg
30161,Impedit Box,Personal Care,423.37,335.66,Karnik PLC,kg
30162,Laboriosam 1L,Atta Rice & Dal,,284.18,Sur-Saxena,Kg
30163,Libero 500g,Dairy & Breakfast,921.63,827.74,"Subramanian, Pillay and Naik",Kg
30164,Praesentium Box,Snacks,1121.06,,Dey-Seshadri,PC
30165,Doloribus Combo,Bakery,189.97,165.28,Baral-Narayan,g
30166,Ducimus Box,Fruits & Vegetables,397.71,287.44,"Sha, Pandit and Pillai",ml
30167,Quasi Combo,Household,705.83,703.53,Raghavan LLC,PC
30168,Corporis Pack,Baby Care,885.02,762.72,Sanghvi LLC,L
30169,Odio 1L,Beverages,118.98,97.99,,g
30170,Sed Pack,Meat & Seafood,651.59,542.12,Prabhakar Ltd,kg
30171,Voluptatum Box,Baby Care,145.77,128.73,"Lalla, Balan and Yogi",PC
30172,Modi 1L,Household,78.18,75.75,Bala-Sandhu,kg
30173,Corporis 1L,Atta Rice & Dal,701.09,668.65,Mitter Ltd,ml
30174,Possimus Pack,Snacks,107.28,106.47,Shah Group,PC
30175,Sunt Jar,Snacks,457.72,330.33,Prasad-Sachdev,pc
30176,Ea Box,Meat & Seafood,842.98,740.83,,pc
30177,Deleniti 500g,Personal Care,278.88,,Konda-Khosla,L
30178,Odio 500g,Household,995.42,794.52,,L
30179,Possimus Box,Meat & Seafood,15.15,11.39,"Sridhar, Andra and Barman",g
30180,Quam Box,Dairy & Breakfast,1163.93,967.54,,kg
30181,Eveniet Pack,Snacks,838.04,620.67,Ghose-Vyas,kg
30182,Itaque Pack,Household,329.49,291.98,"Grover, Bhagat and Shere",Kg
30183,A 500g,Personal Care,115.69,114.28,Agate-Venkataraman,Kg
30184,Aliquam Box,Personal Care,165.04,164.14,Balakrishnan-Yadav,g
30185,Labore Jar,Pet Supplies,363.71,318.32,Bhasin-Lad,L
30186,Sint Jar,Atta Rice & Dal,135.03,112.35,Yohannan Ltd,Kg
30187,Qui Combo,Instant Food,78.23,73.89,Dara-Saxena,pc
30188,Repudiandae Pack,Household,500.96,,Issac Ltd,PC
30189,Tempore Jar,Meat & Seafood,586.21,510.1,,Kg
30190,Saepe Combo,Baby Care,306.59,255.3,Choudhury PLC,ml
30191,Totam Pack,Snacks,641.38,504.95,Dani-Cheema,PC
30192,Tenetur 1L,Dairy & Breakfast,811.71,660.83,"Mand, Rattan and Dutt",pc
30193,Voluptatum Combo,Atta Rice & Dal,420.67,330.03,Gade-Warrior,ml
30194,Ab 500g,Instant Food,848.03,744.11,,L
30195,Molestias Box,Beverages,488.21,412.28,"Barad, Lanka and Bose",PC
30196,Quidem 500g,Household,618.41,585.69,Warrior Inc,pc
30197,Beatae Box,Atta Rice & Dal,64.41,59.26,,L
30198,Perspiciatis Jar,Beverages,623.8,504.05,Manne-Bahri,pc
30199,Tempore Box,Instant Food,,1063.22,Choudhry-Talwar,Kg
30200,A 500g,Beverages,151.6,118.38,"Yogi, Mangat and Gour",Kg
30201,Est 500g,Instant Food,583.31,478.6,Mittal-Koshy,ml
30202,Fugit 1L,Household,368.76,277.75,Ganguly-Jhaveri,PC
30203,Facere Jar,Meat & Seafood,393.18,371.22,Dave Inc,Kg
30204,Quas 500g,Baby Care,1192.75,893.79,,ml
30205,Unde Box,Baby Care,193.49,173.4,"Atwal, Kar and Dar",g
30206,Est Box,Bakery,965.39,855.22,Shah-Sidhu,L
30207,Cupiditate 1L,Bakery,416.64,,"Sagar, Toor and Rege",ml
30208,Tempore 1L,Beverages,1019.86,955.77,Borde LLC,Kg
30209,Veniam 500g,Instant Food,101.39,72.5,Desai Ltd,ml
30210,Adipisci Pack,Pet Supplies,65.32,61.4,,L
30211,Ex Box,Dairy & Breakfast,1018.13,883.44,"Dhar, Purohit and Yadav",pc
30212,Ea 1L,Instant Food,312.8,225.93,Chanda-Mangat,g
30213,Optio 1L,Dairy & Breakfast,559.8,432.58,"Mann, Hari and Bala",L
30214,Nam Jar,Meat & Seafood,748.39,661.67,Patla Inc,ml
30215,Magni Combo,Baby Care,667.89,634.75,"Kumer, Trivedi and Tella",PC
30216,Deleniti 500g,Fruits & Vegetables,,710.24,Jhaveri-Natt,PC
30217,Dolorum Jar,Snacks,171.98,151.22,Yohannan-Kala,ml
30218,Distinctio 1L,Baby Care,235.47,233.19,Devan-Borah,ml
30219,Laboriosam Pack,Bakery,1122.07,931.74,Radhakrishnan-Chand,pc
30220,Veniam Jar,Beverages,1033.16,735.66,"Khare, Madan and Raj",g
30221,Nulla 1L,Snacks,135.29,95.02,Rege-Edwin,pc
30222,Libero 500g,Fruits & Vegetables,361.54,350.32,Chanda-Zachariah,L
30223,Dignissimos Jar,Snacks,1014.4,756.82,Thakur-Narang,PC
30224,Aspernatur 500g,Personal Care,467.47,458.81,"Balay, Nagarajan and Bobal",kg
30225,Iste Jar,Household,797.54,596.08,Vala PLC,ml
30226,Blanditiis 500g,Snacks,81.58,67.03,Pathak Inc,Kg
30227,Quos Pack,Snacks,1036.69,857.77,Saraf-Dutta,kg
30228,Aperiam Box,Personal Care,639.53,615.7,"Krishnamurthy, Trivedi and Chopra",ml
30229,Voluptatem Combo,Fruits & Vegetables,1146.83,834.9,Sathe PLC,L
30230,Sint Jar,Personal Care,479.17,351.86,Upadhyay Inc,Kg
30231,Molestias Combo,Household,357.05,292.59,"Din, Iyengar and Dhillon",L
30232,Exercitationem Combo,Household,905.3,822.12,Karpe-Sani,Kg
30233,Laudantium 1L,Personal Care,791.88,785.17,Mody and Sons,L
30234,Maiores 500g,Baby Care,846.86,692.71,Batra-Patel,L
30235,Sunt 500g,Snacks,605.79,503.12,Agrawal-Parmer,L
30236,Nisi 1L,Atta Rice & Dal,986.88,893.92,"Rai, Natt and Ratta",pc
30237,Excepturi Jar,Household,246.44,204.68,Vala Ltd,Kg
30238,Voluptatum Combo,Personal Care,811.98,753.73,"Nadig, Morar and Hora",ml
30239,Temporibus Box,Instant Food,168.25,133.66,"Krishnamurthy, Raju and Salvi",ml
30240,Dicta Pack,Meat & Seafood,262.18,217.67,"Deshmukh, Taneja and Warrior",kg
30241,Dolorem Box,Bakery,949.83,850.52,Tak Group,PC
30242,Eos Jar,Personal Care,321.1,269.97,,ml
30243,Dignissimos Pack,Instant Food,,273.05,"Tara, Bobal and Golla",g
30244,Non 1L,Personal Care,701.51,595.45,Sarin LLC,g
30245,Culpa 1L,Personal Care,110.48,78.32,"Walia, Sehgal and Narula",ml
30246,Placeat 1L,Dairy & Breakfast,785.55,654.13,Ravel-Wable,g
30247,Sint Box,Dairy & Breakfast,90.11,74.15,Sur-Sandal,g
30248,Saepe 500g,Personal Care,537.84,461.75,Pandit LLC,Kg
30249,Voluptates Box,Household,,589.21,Padmanabhan Ltd,PC
30250,Placeat 1L,Household,1095.49,924.95,Iyer Group,L
30251,Sed Box,Bakery,479.6,448.66,"Bail, Chauhan and Hans",Kg
30252,Doloremque Box,Baby Care,925.2,703.61,"Dugar, Wason and Mahal",pc
30253,Incidunt 500g,Household,116.38,,"Sandhu, Divan and Mahajan",Kg
30254,Tempora Combo,Atta Rice & Dal,667.24,526.14,"Sundaram, Patel and Warrior",g
30255,Voluptatum 1L,Atta Rice & Dal,747.63,607.04,"Kade, Pal and Comar",pc
30256,Rem Box,Beverages,779.33,575.25,Lal Group,L
30257,Blanditiis Combo,Fruits & Vegetables,66.43,62.23,Varughese-Thaman,g
30258,Quia Combo,Bakery,1098.11,950.33,"Ramakrishnan, Varma and Dara",kg
30259,Blanditiis Jar,Dairy & Breakfast,741.31,712.45,Lad-Bala,ml
30260,Recusandae Pack,Bakery,319.47,235.08,Kalla Group,kg
30261,Vitae Combo,Fruits & Vegetables,990.17,963.38,"Saxena, Vasa and Kala",L
30262,Tenetur 1L,Atta Rice & Dal,46.52,45.36,,g
30263,Asperiores 1L,Bakery,572.44,418.6,"Krishnamurthy, Chaudhry and Raman",PC
30264,Officia 1L,Bakery,562.03,554.06,Rau-Shankar,kg
30265,Beatae Pack,Pet Supplies,1074.94,1002.06,"Divan, Padmanabhan and Agarwal",pc
30266,Reiciendis 1L,Atta Rice & Dal,651.58,648.74,"Wagle, Bir and Parekh",pc
30267,Nihil Box,Beverages,,865.68,Lanka LLC,pc
30268,Voluptas Pack,Snacks,676.48,582.11,"Korpal, Deshpande and Pradhan",Kg
30269,Nemo 1L,Instant Food,438.74,369.09,"Sinha, Rajan and Bajaj",ml
30270,Asperiores Box,Atta Rice & Dal,732.72,582.13,"Bhardwaj, Gala and Tata",L
30271,Consectetur Pack,Bakery,432.9,400.24,Dugar-Chatterjee,kg
30272,Magni Jar,Household,929.28,790.08,Sharma Ltd,PC
30273,Rerum Box,Snacks,1058.49,867.14,Trivedi-Singhal,kg
30274,Sint Jar,Baby Care,996.33,705.13,Dada-Divan,pc
30275,Atque 1L,Fruits & Vegetables,433.64,352.6,Thakkar-Kanda,PC
30276,Quae Combo,Baby Care,718.04,521.48,,kg
30277,Veritatis Combo,Pet Supplies,916.8,800.72,Mane-Bera,kg
30278,Labore Combo,Baby Care,1094.09,970.25,Dara-Bhavsar,PC
30279,Cumque Box,Dairy & Breakfast,357.5,287.22,"Dhingra, Sharaf and Mukherjee",L
30280,Dolore Box,Meat & Seafood,1182.4,,Lad-Babu,ml
30281,Aperiam Box,Pet Supplies,833.29,,Rattan LLC,L
30282,Reprehenderit Box,Beverages,892.74,687.06,,g
30283,Inventore 1L,Instant Food,40.09,30.73,Sharma Ltd,L
30284,Neque 1L,Instant Food,1071.66,959.69,"Narula, Dubey and Goel",PC
30285,Aliquam 1L,Beverages,514.36,436.27,Garg and Sons,L
30286,Earum Jar,Baby Care,759.24,598.87,Dasgupta Ltd,g
30287,Ratione Box,Fruits & Vegetables,322.78,269.11,"Bora, Balay and Murty",kg
30288,Similique 500g,Atta Rice & Dal,788.95,595.42,"Prabhakar, Parsa and De",kg
30289,Explicabo 500g,Instant Food,1199.21,1070.63,Saxena-Walia,Kg
30290,Nemo 500g,Pet Supplies,,799.66,"Chad, Bera and Zacharia",kg
30291,Eveniet 1L,Atta Rice & Dal,322.58,264.87,"Mandal, Vasa and Mukhopadhyay",L
30292,Minus 500g,Bakery,1152.64,882.94,Parmar-Chauhan,Kg
30293,Laborum 500g,Dairy & Breakfast,312.85,271.8,Bhatt-Sama,PC
30294,Suscipit 500g,Pet Supplies,643.02,465.15,"Dara, Chana and Pant",L
30295,Beatae 500g,Baby Care,619.51,474.75,"Kohli, Luthra and Pai",kg
30296,Repellat 500g,Pet Supplies,139.94,117.69,Sane-Nath,L
30297,Veniam Box,Fruits & Vegetables,429.69,306.29,Sharma LLC,kg
30298,Quam Pack,Household,603.94,573.62,Bir LLC,pc
30299,Laudantium 1L,Meat & Seafood,408.37,349.65,Basak PLC,ml
30300,Voluptas Combo,Baby Care,145.5,106.14,"Tailor, Mohanty and Srinivas",PC
30301,Ullam Box,Pet Supplies,550.83,534.01,Randhawa-Sha,PC
30302,Sed Combo,Instant Food,1052.34,1004.17,Balan LLC,Kg
30303,Recusandae 1L,Pet Supplies,619.45,468.31,"Chopra, Chowdhury and Pandit",kg
30304,Aliquam Combo,Personal Care,1143.39,1120.85,"Khalsa, Bhardwaj and Sinha",L
30305,Itaque Combo,Instant Food,1042.58,1041.84,"Shetty, Soman and Jha",PC
30306,Aliquid Box,Meat & Seafood,76.79,54.26,Sankar-Jain,pc
30307,Similique Pack,Household,1060.78,1021.85,Chaudry PLC,kg
30308,Repellat Combo,Fruits & Vegetables,281.47,208.24,Zachariah and Sons,Kg
30309,Ducimus Jar,Snacks,950.93,803.77,,Kg
30310,Corporis 500g,Household,1130.82,986.31,Tak-Chacko,g
30311,Id Jar,Meat & Seafood,587.61,422.48,"Halder, Gala and Shan",Kg
30312,Porro 1L,Dairy & Breakfast,,600.63,Sule-Mall,Kg
30313,Eaque Jar,Pet Supplies,1117.03,953.41,Shroff-Edwin,Kg
30314,Ducimus Jar,Meat & Seafood,499.35,424.51,"Shukla, Ramaswamy and Kala",PC
30315,Ea 1L,Pet Supplies,885.27,723.52,"Rai, Mallick and Dara",Kg
30316,Deserunt Jar,Snacks,835.55,612.49,Gola PLC,kg
30317,Sit 500g,Meat & Seafood,83.97,63.97,"Borra, Sekhon and Lad",g
30318,Explicabo Combo,Snacks,631.72,472.12,Ganesh PLC,ml
30319,Blanditiis Combo,Instant Food,1177.58,851.17,Rout-More,Kg
30320,Incidunt 500g,Dairy & Breakfast,753.77,630.36,Desai-Kala,kg
30321,Porro Pack,Pet Supplies,783.2,656.34,Dalal and Sons,ml
30322,Voluptates 1L,Baby Care,479.47,438.27,,pc
30323,Impedit Combo,Atta Rice & Dal,772.93,760.37,Kothari-Kumar,g
30324,Saepe 1L,Household,972.82,966.66,Edwin Ltd,g
30325,Ad Box,Atta Rice & Dal,220.56,167.83,"Deo, Mani and De",pc
30326,Accusantium 1L,Household,500.69,351.7,,L
30327,Ducimus Pack,Snacks,51.34,38.46,Pau-Solanki,Kg
30328,Similique Box,Personal Care,772.29,617.2,"Ahuja, Krishna and Murty",PC
30329,Veniam Pack,Household,686.55,566.71,Borra-Sen,Kg
30330,Minus Combo,Dairy & Breakfast,762.0,685.47,Samra and Sons,kg
30331,Perspiciatis Combo,Fruits & Vegetables,794.9,,Venkataraman Group,kg
30332,Eos Box,Snacks,346.58,266.93,Chowdhury and Sons,PC
30333,Similique 1L,Household,608.63,453.67,Goyal-Sant,pc
30334,Itaque Jar,Snacks,941.94,825.26,"Sanghvi, Goel and Bal",pc
30335,Sit Jar,Pet Supplies,120.17,92.25,Randhawa-Modi,pc
30336,Dicta Pack,Pet Supplies,1019.32,,Mani Group,kg
30337,Nemo Jar,Bakery,1055.09,784.16,Goswami-Sidhu,pc
30338,Occaecati 500g,Pet Supplies,706.64,502.91,"Mane, Karnik and Apte",g
30339,Facilis Pack,Snacks,35.13,25.92,Vasa Inc,g
30340,Minima Pack,Snacks,1011.51,878.84,Gade Inc,kg
30341,Hic Combo,Dairy & Breakfast,377.8,377.78,Sachdev-Malhotra,g
30342,Sapiente 1L,Fruits & Vegetables,993.22,755.7,Joshi-Krishna,g
30343,Repellat Box,Beverages,1036.02,752.42,Prabhu Inc,ml
30344,Molestiae Jar,Fruits & Vegetables,983.47,707.14,,L
30345,Neque 1L,Snacks,737.8,550.41,Nadig-Kunda,PC
30346,Non Box,Pet Supplies,534.47,380.04,Srinivas-Raj,PC
30347,Doloremque Jar,Beverages,664.36,,Dey-Kunda,L
30348,Natus 500g,Pet Supplies,761.1,741.24,Sarkar-Mane,ml
30349,Doloremque 500g,Personal Care,527.54,473.28,"Dhillon, Memon and Gupta",pc
30350,Fugit Pack,Fruits & Vegetables,818.9,765.81,Sharaf Ltd,L
30351,Officiis Pack,Bakery,589.68,538.62,"Prashad, Goel and Boase",g
30352,Alias Pack,Household,179.59,167.54,"Bhattacharyya, Mohan and Deo",pc
30353,Consequuntur Box,Bakery,34.01,30.09,Bhatnagar-Chana,kg
30354,Voluptates 1L,Bakery,293.83,209.44,D’Alia and Sons,PC
