product_id,product_name,category,mrp,selling_price,brand,unit,discount_percent,price_status
30060,Distinctio Pack,Beverages,715.97,531.56,"Grover, Kaul and Chopra",Kg,25.76,Normal
30061,Autem Pack,Meat & Seafood,391.44,308.41,Unknown,Kg,21.21,Normal
30062,Ad 500g,Meat & Seafood,264.29,192.29,"Sawhney, Parsa and Viswanathan",Kg,27.24,Normal
30063,Aperiam Box,Dairy & Breakfast,151.42,128.09,Unknown,L,15.41,Normal
30064,Sequi 1L,Instant Food,1183.71,916.27,Varughese and Sons,ml,22.59,Normal
30065,Consectetur Jar,Beverages,846.82,785.7,Dugar LLC,L,7.22,Normal
30066,Harum Jar,Snacks,784.74,646.72,Gole PLC,PC,17.59,Normal
30067,Quaerat 1L,Household,1090.32,772.56,Unknown,ml,29.14,Normal
30068,Recusandae Combo,Snacks,513.55,475.38,Unknown,Kg,7.43,Normal
30069,Deserunt 1L,Bakery,280.65,216.54,Unknown,ml,22.84,Normal
30070,Iste Box,Instant Food,607.88,578.65,"Kannan, Kapadia and Ramakrishnan",PC,4.81,Normal
30071,Id Combo,Baby Care,1046.72,895.68,"Kulkarni, Nagarajan and Kant",L,14.43,Normal
30072,Qui Combo,Pet Supplies,84.38,76.37,Sandal-Chad,ml,9.49,Normal
30073,Ratione Jar,Pet Supplies,88.06,74.61,Sathe-Patil,ml,15.27,Normal
30074,Asperiores Combo,Dairy & Breakfast,1068.25,1052.54,Mitter and Sons,PC,1.47,Normal
30075,Ut 500g,Household,852.41,703.62,Palan Inc,g,17.46,Normal
30076,Modi 500g,Dairy & Breakfast,629.93,464.37,"Bava, Nigam and Lal",PC,26.28,Normal
30077,Debitis Jar,Dairy & Breakfast,341.64,328.42,"Vig, Bhardwaj and Dhillon",L,3.87,Normal
30078,Eius Combo,Pet Supplies,678.98,561.76,Dugal Ltd,Kg,17.26,Normal
30079,At Jar,Instant Food,543.93,381.08,Dar and Sons,PC,29.94,Normal
30080,Sunt Combo,Meat & Seafood,127.09,113.06,Sanghvi Ltd,Kg,11.04,Normal
30081,Fugiat 1L,Baby Care,492.33,489.83,Hayer-Magar,ml,0.51,Normal
30082,Pariatur Jar,Fruits & Vegetables,607.63,460.06,"Murthy, Ravi and Lad",g,24.29,Normal
30083,Earum Jar,Meat & Seafood,646.77,454.51,Purohit PLC,PC,29.73,Normal
30084,Nostrum Pack,Bakery,476.24,400.13,Hora-Subramaniam,g,15.98,Normal
30085,Laudantium Combo,Instant Food,754.4,730.51,Savant-Edwin,PC,3.17,Normal
30086,Fuga 500g,Meat & Seafood,390.28,316.6,Sethi-Sachdev,PC,18.88,Normal
30087,Iusto Box,Bakery,940.31,784.77,Mody PLC,Kg,16.54,Normal
30088,Cum Box,Household,1029.7,809.17,"Ramaswamy, Rege and Mohanty",L,21.42,Normal
30089,Accusamus Combo,Meat & Seafood,1115.39,951.07,Natarajan PLC,PC,14.73,Normal
30090,Molestias Pack,Meat & Seafood,522.39,456.64,"Ganesan, Bobal and Devi",PC,12.59,Normal
30091,Aperiam Jar,Personal Care,215.58,183.21,"Guha, Barad and Srivastava",PC,15.02,Normal
30092,Enim Combo,Pet Supplies,452.93,390.09,Tara Group,PC,13.87,Normal
30093,Doloremque 500g,Dairy & Breakfast,119.07,109.9,"Desai, Borah and Varty",g,7.7,Normal
30094,Eligendi 500g,Beverages,109.7,107.89,Hayre-Kaul,PC,1.65,Normal
30095,Dolores 500g,Bakery,567.99,544.22,Bajwa-Sharma,L,4.18,Normal
30096,Voluptatem 1L,Pet Supplies,586.32,470.75,"Pall, Mane and Mishra",Kg,19.71,Normal
30097,Aspernatur 1L,Instant Food,1064.49,791.98,"Balakrishnan, Manne and Verma",g,25.6,Normal
30098,Similique 500g,Instant Food,551.84,437.49,"Bail, Ramanathan and Apte",g,20.72,Normal
30099,Eligendi Box,Pet Supplies,347.3,316.6,Yadav-Sur,PC,8.84,Normal
30100,Labore Box,Personal Care,1039.44,1036.06,"Dhillon, Wali and Bose",Kg,0.33,Normal
30101,Eos Jar,Fruits & Vegetables,932.54,791.88,Golla-Ganesan,PC,15.08,Normal
30102,Blanditiis 1L,Baby Care,394.92,356.68,"Handa, Mangal and Koshy",Kg,9.68,Normal
30103,Autem 500g,Atta Rice & Dal,1013.71,918.25,Unknown,g,9.42,Normal
30104,Odio 1L,Baby Care,800.44,775.28,Tank-Mohanty,PC,3.14,Normal
30105,Maiores 500g,Household,680.01,531.29,"Shah, Bandi and Mallick",Kg,21.87,Normal
30106,Animi Combo,Fruits & Vegetables,10.68,8.42,Bhalla-Mani,L,21.16,Normal
30107,Soluta Combo,Baby Care,258.2,208.33,Singhal-Mukherjee,L,19.31,Normal
30108,Facilis Box,Pet Supplies,521.04,436.88,Pathak Group,ml,16.15,Normal
30109,Neque Box,Baby Care,1130.91,1022.94,"Patel, Misra and Date",PC,9.55,Normal
30110,Esse Jar,Atta Rice & Dal,20.28,17.44,Kumer and Sons,PC,14.0,Normal
30111,Quis Pack,Fruits & Vegetables,879.1,867.44,Mallick-Rama,Kg,1.33,Normal
30112,Rem Combo,Atta Rice & Dal,638.18,575.83,"Hayre, Hari and Wali",Kg,9.77,Normal
30113,Ea 500g,Dairy & Breakfast,1197.25,1128.84,"Sarkar, Manda and Venkataraman",Kg,5.71,Normal
30114,Et Combo,Instant Food,638.78,517.05,"Chokshi, Dave and Deshpande",g,19.06,Normal
30115,Est Pack,Household,185.47,165.74,"Bajaj, Basu and Lall",PC,10.64,Normal
30116,Amet 1L,Baby Care,1145.07,863.68,"Vora, Chawla and Patel",PC,24.57,Normal
30117,Facere Jar,Atta Rice & Dal,516.92,445.94,"Loke, Sethi and Krishnamurthy",L,13.73,Normal
30118,Culpa Pack,Instant Food,259.42,221.95,"Sahota, Varty and Prasad",PC,14.44,Normal
30119,Aperiam Pack,Instant Food,876.47,680.08,Subramaniam Inc,PC,22.41,Normal
30120,Iusto 500g,Pet Supplies,129.94,98.55,"Bansal, Manda and Khare",g,24.16,Normal
30121,Repudiandae Combo,Bakery,233.0,171.51,"Brahmbhatt, Rajagopalan and Koshy",Kg,26.39,Normal
30122,Officia 500g,Fruits & Vegetables,594.71,493.31,"Bora, Vohra and Chahal",L,17.05,Normal
30123,Explicabo Jar,Fruits & Vegetables,160.58,116.89,Kakar LLC,g,27.21,Normal
30124,Id Jar,Fruits & Vegetables,699.27,490.52,Saran and Sons,PC,29.85,Normal
30125,Voluptatem 1L,Dairy & Breakfast,1116.81,1025.58,Morar-Bhatnagar,L,8.17,Normal
30126,Quia Pack,Personal Care,360.15,307.77,Ratti-Mammen,Kg,14.54,Normal
30127,In Combo,Pet Supplies,152.28,108.81,Apte-Dutt,PC,28.55,Normal
30128,Numquam Pack,Instant Food,25.64,19.66,Choudhary-Gokhale,PC,23.32,Normal
30129,Minima 1L,Baby Care,146.92,111.76,Hegde Inc,ml,23.93,Normal
30130,Fuga 1L,Household,1000.86,904.7,Swamy-Arora,Kg,9.61,Normal
30131,Distinctio Pack,Pet Supplies,1147.21,863.54,Varty and Sons,L,24.73,Normal
30132,Vero 1L,Fruits & Vegetables,165.21,138.82,Saran-Kakar,L,15.97,Normal
30133,Amet 500g,Pet Supplies,809.73,610.09,"Wable, Kota and Bhagat",g,24.66,Normal
30134,Quia Pack,Pet Supplies,130.53,104.42,"Keer, Parekh and Majumdar",g,20.0,Normal
30135,Distinctio Pack,Bakery,1035.49,851.78,Kaur PLC,g,17.74,Normal
30136,Maiores 1L,Household,690.86,531.44,Batra-Parsa,PC,23.08,Normal
30137,Facere Combo,Pet Supplies,277.31,258.24,Wagle Group,PC,6.88,Normal
30138,Ipsam Jar,Household,627.74,611.09,Sehgal-Saini,L,2.65,Normal
30139,Fuga Combo,Snacks,1073.52,803.08,"Gulati, Modi and Yogi",PC,25.19,Normal
30140,Ipsum 500g,Instant Food,172.28,126.02,Morar-Dhawan,PC,26.85,Normal
30141,Doloribus Jar,Bakery,605.48,457.08,Pai Inc,Kg,24.51,Normal
30142,Odit Box,Fruits & Vegetables,215.35,213.54,"Dutta, Wagle and Kar",ml,0.84,Normal
30143,Sint Combo,Pet Supplies,689.4,541.37,Keer-Ramanathan,PC,21.47,Normal
30144,Odio 1L,Instant Food,697.46,599.03,Kamdar Inc,ml,14.11,Normal
30145,Tempora Combo,Baby Care,802.8,730.42,Bava-Nayar,ml,9.02,Normal
30146,Tempora Box,Fruits & Vegetables,531.59,492.98,Tata-Morar,PC,7.26,Normal
30147,Incidunt 1L,Dairy & Breakfast,315.16,279.47,Kaur-Roy,L,11.32,Normal
30148,Necessitatibus Jar,Atta Rice & Dal,967.31,900.02,Andra-Goyal,PC,6.96,Normal
30149,Eum Jar,Household,947.74,776.4,"Nadkarni, Nadkarni and Hayer",PC,18.08,Normal
30150,Iusto 1L,Meat & Seafood,596.35,518.11,Sabharwal Group,Kg,13.12,Normal
30151,Magni 500g,Meat & Seafood,1085.86,1043.35,"Chanda, Badami and Sabharwal",PC,3.91,Normal
30152,Veniam Box,Snacks,170.31,140.5,Warrior-Khurana,PC,17.5,Normal
30153,Molestias 1L,Pet Supplies,819.68,618.44,"Kuruvilla, Gill and Tara",PC,24.55,Normal
30154,Iste Pack,Beverages,468.43,403.89,"Tella, Borra and Bhakta",L,13.78,Normal
30155,Doloribus Pack,Instant Food,647.69,532.8,Unknown,PC,17.74,Normal
30156,Necessitatibus Jar,Snacks,321.96,244.21,Khurana and Sons,g,24.15,Normal
30157,Porro Jar,Bakery,67.32,56.18,Halder LLC,PC,16.55,Normal
30158,Error Jar,Beverages,957.63,746.93,"Bedi, Mitra and Garg",Kg,22.0,Normal
30159,Laudantium 500g,Personal Care,920.04,740.55,"Boase, Tata and Patla",L,19.51,Normal
30160,Molestiae Box,Household,1102.76,1095.8,"Dhingra, Hora and Sami",Kg,0.63,Normal
30161,Impedit Box,Personal Care,423.37,335.66,Karnik PLC,Kg,20.72,Normal
30162,Laboriosam 1L,Atta Rice & Dal,334.6,284.18,Sur-Saxena,Kg,15.07,Normal
30163,Libero 500g,Dairy & Breakfast,921.63,827.74,"Subramanian, Pillay and Naik",Kg,10.19,Normal
30164,Praesentium Box,Snacks,1121.06,932.85,Dey-Seshadri,PC,16.79,Normal
30165,Doloribus Combo,Bakery,189.97,165.28,Baral-Narayan,g,13.0,Normal
30166,Ducimus Box,Fruits & Vegetables,397.71,287.44,"Sha, Pandit and Pillai",ml,27.73,Normal
30167,Quasi Combo,Household,705.83,703.53,Raghavan LLC,PC,0.33,Normal
30168,Corporis Pack,Baby Care,885.02,762.72,Sanghvi LLC,L,13.82,Normal
30169,Odio 1L,Beverages,118.98,97.99,Unknown,g,17.64,Normal
30170,Sed Pack,Meat & Seafood,651.59,542.12,Prabhakar Ltd,Kg,16.8,Normal
30171,Voluptatum Box,Baby Care,145.77,128.73,"Lalla, Balan and Yogi",PC,11.69,Normal
30172,Modi 1L,Household,78.18,75.75,Bala-Sandhu,Kg,3.11,Normal
30173,Corporis 1L,Atta Rice & Dal,701.09,668.65,Mitter Ltd,ml,4.63,Normal
30174,Possimus Pack,Snacks,107.28,106.47,Shah Group,PC,0.76,Normal
30175,Sunt Jar,Snacks,457.72,330.33,Prasad-Sachdev,PC,27.83,Normal
30176,Ea Box,Meat & Seafood,842.98,740.83,Unknown,PC,12.12,Normal
30177,Deleniti 500g,Personal Care,278.88,237.0,Konda-Khosla,L,15.02,Normal
30178,Odio 500g,Household,995.42,794.52,Unknown,L,20.18,Normal
30179,Possimus Box,Meat & Seafood,15.15,11.39,"Sridhar, Andra and Barman",g,24.82,Normal
30180,Quam Box,Dairy & Breakfast,1163.93,967.54,Unknown,Kg,16.87,Normal
30181,Eveniet Pack,Snacks,838.04,620.67,Ghose-Vyas,Kg,25.94,Normal
30182,Itaque Pack,Household,329.49,291.98,"Grover, Bhagat and Shere",Kg,11.38,Normal
30183,A 500g,Personal Care,115.69,114.28,Agate-Venkataraman,Kg,1.22,Normal
30184,Aliquam Box,Personal Care,165.04,164.14,Balakrishnan-Yadav,g,0.55,Normal
30185,Labore Jar,Pet Supplies,363.71,318.32,Bhasin-Lad,L,12.48,Normal
30186,Sint Jar,Atta Rice & Dal,135.03,112.35,Yohannan Ltd,Kg,16.8,Normal
30187,Qui Combo,Instant Food,78.23,73.89,Dara-Saxena,PC,5.55,Normal
30188,Repudiandae Pack,Household,500.96,413.52,Issac Ltd,PC,17.45,Normal
30189,Tempore Jar,Meat & Seafood,586.21,510.1,Unknown,Kg,12.98,Normal
30190,Saepe Combo,Baby Care,306.59,255.3,Choudhury PLC,ml,16.73,Normal
30191,Totam Pack,Snacks,641.38,504.95,Dani-Cheema,PC,21.27,Normal
30192,Tenetur 1L,Dairy & Breakfast,811.71,660.83,"Mand, Rattan and Dutt",PC,18.59,Normal
30193,Voluptatum Combo,Atta Rice & Dal,420.67,330.03,Gade-Warrior,ml,21.55,Normal
30194,Ab 500g,Instant Food,848.03,744.11,Unknown,L,12.25,Normal
30195,Molestias Box,Beverages,488.21,412.28,"Barad, Lanka and Bose",PC,15.55,Normal
30196,Quidem 500g,Household,618.41,585.69,Warrior Inc,PC,5.29,Normal
30197,Beatae Box,Atta Rice & Dal,64.41,59.26,Unknown,L,8.0,Normal
30198,Perspiciatis Jar,Beverages,623.8,504.05,Manne-Bahri,PC,19.2,Normal
30199,Tempore Box,Instant Food,1313.54,1063.22,Choudhry-Talwar,Kg,19.06,Normal
30200,A 500g,Beverages,151.6,118.38,"Yogi, Mangat and Gour",Kg,21.91,Normal
30201,Est 500g,Instant Food,583.31,478.6,Mittal-Koshy,ml,17.95,Normal
30202,Fugit 1L,Household,368.76,277.75,Ganguly-Jhaveri,PC,24.68,Normal
30203,Facere Jar,Meat & Seafood,393.18,371.22,Dave Inc,Kg,5.59,Normal
30204,Quas 500g,Baby Care,1192.75,893.79,Unknown,ml,25.06,Normal
30205,Unde Box,Baby Care,193.49,173.4,"Atwal, Kar and Dar",g,10.38,Normal
30206,Est Box,Bakery,965.39,855.22,Shah-Sidhu,L,11.41,Normal
30207,Cupiditate 1L,Bakery,416.64,347.72,"Sagar, Toor and Rege",ml,16.54,Normal
30208,Tempore 1L,Beverages,1019.86,955.77,Borde LLC,Kg,6.28,Normal
30209,Veniam 500g,Instant Food,101.39,72.5,Desai Ltd,ml,28.49,Normal
30210,Adipisci Pack,Pet Supplies,65.32,61.4,Unknown,L,6.0,Normal
30211,Ex Box,Dairy & Breakfast,1018.13,883.44,"Dhar, Purohit and Yadav",PC,13.23,Normal
30212,Ea 1L,Instant Food,312.8,225.93,Chanda-Mangat,g,27.77,Normal
30213,Optio 1L,Dairy & Breakfast,559.8,432.58,"Mann, Hari and Bala",L,22.73,Normal
30214,Nam Jar,Meat & Seafood,748.39,661.67,Patla Inc,ml,11.59,Normal
30215,Magni Combo,Baby Care,667.89,634.75,"Kumer, Trivedi and Tella",PC,4.96,Normal
30216,Deleniti 500g,Fruits & Vegetables,856.22,710.24,Jhaveri-Natt,PC,17.05,Normal
30217,Dolorum Jar,Snacks,171.98,151.22,Yohannan-Kala,ml,12.07,Normal
30218,Distinctio 1L,Baby Care,235.47,233.19,Devan-Borah,ml,0.97,Normal
30219,Laboriosam Pack,Bakery,1122.07,931.74,Radhakrishnan-Chand,PC,16.96,Normal
30220,Veniam Jar,Beverages,1033.16,735.66,"Khare, Madan and Raj",g,28.8,Normal
30221,Nulla 1L,Snacks,135.29,95.02,Rege-Edwin,PC,29.77,Normal
30222,Libero 500g,Fruits & Vegetables,361.54,350.32,Chanda-Zachariah,L,3.1,Normal
30223,Dignissimos Jar,Snacks,1014.4,756.82,Thakur-Narang,PC,25.39,Normal
30224,Aspernatur 500g,Personal Care,467.47,458.81,"Balay, Nagarajan and Bobal",Kg,1.85,Normal
30225,Iste Jar,Household,797.54,596.08,Vala PLC,ml,25.26,Normal
30226,Blanditiis 500g,Snacks,81.58,67.03,Pathak Inc,Kg,17.84,Normal
30227,Quos Pack,Snacks,1036.69,857.77,Saraf-Dutta,Kg,17.26,Normal
30228,Aperiam Box,Personal Care,639.53,615.7,"Krishnamurthy, Trivedi and Chopra",ml,3.73,Normal
30229,Voluptatem Combo,Fruits & Vegetables,1146.83,834.9,Sathe PLC,L,27.2,Normal
30230,Sint Jar,Personal Care,479.17,351.86,Upadhyay Inc,Kg,26.57,Normal
30231,Molestias Combo,Household,357.05,292.59,"Din, Iyengar and Dhillon",L,18.05,Normal
30232,Exercitationem Combo,Household,905.3,822.12,Karpe-Sani,Kg,9.19,Normal
30233,Laudantium 1L,Personal Care,791.88,785.17,Mody and Sons,L,0.85,Normal
30234,Maiores 500g,Baby Care,846.86,692.71,Batra-Patel,L,18.2,Normal
30235,Sunt 500g,Snacks,605.79,503.12,Agrawal-Parmer,L,16.95,Normal
30236,Nisi 1L,Atta Rice & Dal,986.88,893.92,"Rai, Natt and Ratta",PC,9.42,Normal
30237,Excepturi Jar,Household,246.44,204.68,Vala Ltd,Kg,16.95,Normal
30238,Voluptatum Combo,Personal Care,811.98,753.73,"Nadig, Morar and Hora",ml,7.17,Normal
30239,Temporibus Box,Instant Food,168.25,133.66,"Krishnamurthy, Raju and Salvi",ml,20.56,Normal
30240,Dicta Pack,Meat & Seafood,262.18,217.67,"Deshmukh, Taneja and Warrior",Kg,16.98,Normal
30241,Dolorem Box,Bakery,949.83,850.52,Tak Group,PC,10.46,Normal
30242,Eos Jar,Personal Care,321.1,269.97,Unknown,ml,15.92,Normal
30243,Dignissimos Pack,Instant Food,337.34,273.05,"Tara, Bobal and Golla",g,19.06,Normal
30244,Non 1L,Personal Care,701.51,595.45,Sarin LLC,g,15.12,Normal
30245,Culpa 1L,Personal Care,110.48,78.32,"Walia, Sehgal and Narula",ml,29.11,Normal
30246,Placeat 1L,Dairy & Breakfast,785.55,654.13,Ravel-Wable,g,16.73,Normal
30247,Sint Box,Dairy & Breakfast,90.11,74.15,Sur-Sandal,g,17.71,Normal
30248,Saepe 500g,Personal Care,537.84,461.75,Pandit LLC,Kg,14.15,Normal
30249,Voluptates Box,Household,713.81,589.21,Padmanabhan Ltd,PC,17.46,Normal
30250,Placeat 1L,Household,1095.49,924.95,Iyer Group,L,15.57,Normal
30251,Sed Box,Bakery,479.6,448.66,"Bail, Chauhan and Hans",Kg,6.45,Normal
30252,Doloremque Box,Baby Care,925.2,703.61,"Dugar, Wason and Mahal",PC,23.95,Normal
30253,Incidunt 500g,Household,116.38,96.07,"Sandhu, Divan and Mahajan",Kg,17.45,Normal
30254,Tempora Combo,Atta Rice & Dal,667.24,526.14,"Sundaram, Patel and Warrior",g,21.15,Normal
30255,Voluptatum 1L,Atta Rice & Dal,747.63,607.04,"Kade, Pal and Comar",PC,18.8,Normal
30256,Rem Box,Beverages,779.33,575.25,Lal Group,L,26.19,Normal
30257,Blanditiis Combo,Fruits & Vegetables,66.43,62.23,Varughese-Thaman,g,6.32,Normal
30258,Quia Combo,Bakery,1098.11,950.33,"Ramakrishnan, Varma and Dara",Kg,13.46,Normal
30259,Blanditiis Jar,Dairy & Breakfast,741.31,712.45,Lad-Bala,ml,3.89,Normal
30260,Recusandae Pack,Bakery,319.47,235.08,Kalla Group,Kg,26.42,Normal
30261,Vitae Combo,Fruits & Vegetables,990.17,963.38,"Saxena, Vasa and Kala",L,2.71,Normal
30262,Tenetur 1L,Atta Rice & Dal,46.52,45.36,Unknown,g,2.49,Normal
30263,Asperiores 1L,Bakery,572.44,418.6,"Krishnamurthy, Chaudhry and Raman",PC,26.87,Normal
30264,Officia 1L,Bakery,562.03,554.06,Rau-Shankar,Kg,1.42,Normal
30265,Beatae Pack,Pet Supplies,1074.94,1002.06,"Divan, Padmanabhan and Agarwal",PC,6.78,Normal
30266,Reiciendis 1L,Atta Rice & Dal,651.58,648.74,"Wagle, Bir and Parekh",PC,0.44,Normal
30267,Nihil Box,Beverages,1021.62,865.68,Lanka LLC,PC,15.26,Normal
30268,Voluptas Pack,Snacks,676.48,582.11,"Korpal, Deshpande and Pradhan",Kg,13.95,Normal
30269,Nemo 1L,Instant Food,438.74,369.09,"Sinha, Rajan and Bajaj",ml,15.88,Normal
30270,Asperiores Box,Atta Rice & Dal,732.72,582.13,"Bhardwaj, Gala and Tata",L,20.55,Normal
30271,Consectetur Pack,Bakery,432.9,400.24,Dugar-Chatterjee,Kg,7.54,Normal
30272,Magni Jar,Household,929.28,790.08,Sharma Ltd,PC,14.98,Normal
30273,Rerum Box,Snacks,1058.49,867.14,Trivedi-Singhal,Kg,18.08,Normal
30274,Sint Jar,Baby Care,996.33,705.13,Dada-Divan,PC,29.23,Normal
30275,Atque 1L,Fruits & Vegetables,433.64,352.6,Thakkar-Kanda,PC,18.69,Normal
30276,Quae Combo,Baby Care,718.04,521.48,Unknown,Kg,27.37,Normal
30277,Veritatis Combo,Pet Supplies,916.8,800.72,Mane-Bera,Kg,12.66,Normal
30278,Labore Combo,Baby Care,1094.09,970.25,Dara-Bhavsar,PC,11.32,Normal
30279,Cumque Box,Dairy & Breakfast,357.5,287.22,"Dhingra, Sharaf and Mukherjee",L,19.66,Normal
30280,Dolore Box,Meat & Seafood,1182.4,1006.7,Lad-Babu,ml,14.86,Normal
30281,Aperiam Box,Pet Supplies,833.29,706.02,Rattan LLC,L,15.27,Normal
30282,Reprehenderit Box,Beverages,892.74,687.06,Unknown,g,23.04,Normal
30283,Inventore 1L,Instant Food,40.09,30.73,Sharma Ltd,L,23.35,Normal
30284,Neque 1L,Instant Food,1071.66,959.69,"Narula, Dubey and Goel",PC,10.45,Normal
30285,Aliquam 1L,Beverages,514.36,436.27,Garg and Sons,L,15.18,Normal
30286,Earum Jar,Baby Care,759.24,598.87,Dasgupta Ltd,g,21.12,Normal
30287,Ratione Box,Fruits & Vegetables,322.78,269.11,"Bora, Balay and Murty",Kg,16.63,Normal
30288,Similique 500g,Atta Rice & Dal,788.95,595.42,"Prabhakar, Parsa and De",Kg,24.53,Normal
30289,Explicabo 500g,Instant Food,1199.21,1070.63,Saxena-Walia,Kg,10.72,Normal
