order_id,customer_id,store_id,platform_id,order_datetime,promised_delivery_min,actual_delivery_min,order_status,payment_mode,order_value_inr,discount_inr
7000073,402310,6131,1,2024-05-20,15,15.0,delivered,UPI,917.4,114.15
7000074,400014,6040,4,19-Dec-2023,15,26.0,Cancelled,UPI,1689.4,141.29
7000075,402701,6050,4,2024-11-14,30,42.0,Cancelled,upi,3163.61,96.75
7000076,403290,6075,4,2023-03-23,10,8.0,In Transit,UPI,270.43,9.97
7000077,402148,6010,1,2025-06-07,15,17.0,In Transit,COD ,84.09,199.59
7000078,403804,6097,1,2023-11-28,30,35.0,Delivered,UPI,3459.15,102.82
7000079,403631,6009,1,2024-05-13,15,13.0,Pending,Wallet,2228.99,140.8
7000080,401677,6009,3,2024-03-24,15,2.0,CANCELLED,COD ,160.18,28.14
7000081,403624,6045,2,2024-03-20,10,15.0,delivered,COD ,2631.68,175.97
7000082,403108,6109,2,2025-06-20,20,27.0,Cancelled,COD,3339.78,
7000083,401801,6044,4,2025-02-01,10,13.0,Pending,COD ,2160.3,
7000084,400525,6063,1,2023-08-24,15,7.0,Pending,Wallet,2690.39,30.33
7000085,401157,6024,3,2023-09-03,15,13.0,Pending,Card,3215.85,110.67
7000086,400226,6104,4,2024-07-29,15,10.0,delivered,Wallet,1194.71,50.67
7000087,403776,6060,1,09-27-2023,30,27.0,In Transit,upi,1724.28,
7000088,400234,6040,1,2025-05-07,30,40.0,CANCELLED,UPI,650.26,17.13
7000089,402898,6017,1,2023-12-25,15,27.0,Cancelled,COD ,1518.67,131.72
7000090,402223,6005,1,2025-08-03,15,20.0,delivered,UPI,1366.09,129.89
7000091,402908,6131,3,2023-12-14,20,24.0,Pending,COD ,1798.12,77.7
7000092,402421,6040,2,2024-10-27,30,35.0,Returned,UPI,1546.57,164.61
7000093,400238,6096,1,2025-05-11,15,14.0,Returned,Card,2918.16,195.59
7000094,403544,6054,2,16/04/2023,10,9.0,Cancelled,COD ,1990.31,199.23
7000095,403650,6068,3,2025-03-08,15,9.0,CANCELLED,COD ,134.5,145.7
7000096,402345,6091,1,2024-08-09,10,9.0,Returned,Card,1652.27,128.88
7000097,403922,6017,3,2023-08-07,20,38.0,Cancelled,Wallet,643.46,
7000098,401392,6134,3,14-Oct-2023,30,36.0,Returned,UPI,2770.75,
7000099,403243,6113,4,07-29-2025,10,7.0,Returned,Card,2883.75,136.68
7000100,400928,6100,2,2024-08-10,20,16.0,Returned,upi,1628.55,
7000101,401338,6087,2,2024-03-14,30,,delivered,upi,,178.35
7000102,400451,6017,1,2023-12-05,15,17.0,Cancelled,COD ,2879.59,66.49
7000103,402983,6057,1,2024-12-06,10,13.0,In Transit,upi,1244.87,115.06
7000104,401693,6027,2,2023-07-09,20,8.0,In Transit,upi,2408.42,157.94
7000105,401988,6132,2,2025-06-12,30,33.0,CANCELLED,Card,1607.75,102.2
7000106,402086,6018,2,2023-03-01,30,25.0,Delivered,upi,895.7,106.39
7000107,401507,6076,2,2024-03-08,15,26.0,Delivered,Card,1940.1,90.75
7000108,403723,6016,2,2023-06-16,20,21.0,delivered,COD ,1399.28,144.94
7000109,400671,6014,2,2024-02-23,15,28.0,Delivered,UPI,3135.52,23.76
7000110,401220,6095,1,2025-07-04,30,26.0,Returned,upi,222.4,39.61
7000111,401071,6148,4,2024-11-20,30,27.0,Cancelled,Wallet,1753.71,
7000112,401557,6116,1,2025-04-07,30,32.0,Returned,upi,3003.82,146.87
7000113,401296,6147,3,03-09-2024,20,28.0,Cancelled,Card,1586.88,174.4
7000114,403027,6007,1,2023-02-18,30,34.0,CANCELLED,Wallet,2052.44,72.85
7000115,402705,6074,3,2024-10-11,30,20.0,In Transit,Card,85.23,
7000116,400310,6121,3,2023-01-09,30,31.0,Cancelled,COD ,2220.57,58.85
7000117,401429,6094,2,2025-07-28,30,30.0,Cancelled,Card,1638.2,87.74
7000118,401576,6073,4,13-Oct-2024,20,16.0,Pending,UPI,1283.95,197.19
7000119,402454,6074,1,25-Aug-2023,10,4.0,CANCELLED,UPI,278.8,42.44
7000120,402920,6107,2,2025-06-15,30,,In Transit,COD ,2543.87,38.18
7000121,401967,6019,3,2024-02-27,10,6.0,Pending,UPI,1627.38,194.1
7000122,403801,6041,2,2025-02-07,20,13.0,Cancelled,COD ,2383.6,167.34
7000123,403528,6035,1,2024-09-11,30,35.0,CANCELLED,UPI,811.94,107.59
7000124,402571,6135,1,2024-04-19,10,11.0,Delivered,COD,2049.54,155.55
7000125,400844,6069,1,2023-12-22,30,29.0,Returned,COD ,1835.47,170.68
7000126,401169,6077,1,2024-01-30,20,26.0,Delivered,COD ,1675.9,156.93
7000127,401854,6005,2,2024-11-20,20,23.0,Pending,COD ,141.59,196.47
7000128,402945,6075,2,2024-03-05,10,12.0,Cancelled,COD ,3409.14,
7000129,402186,6012,1,2025-07-10,15,22.0,Pending,Card,2213.84,42.4
7000130,400139,6125,4,2024-02-04,20,22.0,Delivered,upi,449.43,184.87
7000131,403241,6130,1,2023-04-03,15,10.0,Returned,Card,1858.77,39.49
7000132,403609,6140,3,2024-01-07,30,27.0,Returned,Card,533.07,68.16
7000133,401482,6144,1,2025-07-07,10,5.0,Delivered,UPI,2554.85,
7000134,403835,6009,2,01-30-2024,30,31.0,Pending,COD ,2490.07,86.7
7000135,402899,6141,3,2025-07-30,30,21.0,Pending,Card,2218.36,47.0
7000136,401089,6116,1,2023-08-22,30,15.0,CANCELLED,Card,1114.19,33.52
7000137,401636,6005,2,09-19-2024,10,10.0,delivered,UPI,2862.82,158.83
7000138,401956,6130,2,2024-04-03,20,9.0,Delivered,COD,928.28,
7000139,403141,6093,3,2024-04-04,10,,delivered,upi,2693.62,187.74
7000140,400573,6005,1,2024-12-01,15,17.0,Returned,upi,1418.06,17.06
7000141,401398,6026,2,2024-07-31,20,14.0,In Transit,COD,2555.64,
7000142,400245,6043,1,2023-10-22,20,23.0,Delivered,Wallet,1069.68,121.15
7000143,401301,6111,3,2024-07-22,20,15.0,Cancelled,COD ,2834.38,154.66
7000144,403070,6145,2,2023-01-02,30,21.0,delivered,Card,280.79,130.52
7000145,402557,6013,2,2024-01-21,20,10.0,Returned,upi,1206.91,48.09
7000146,403177,6087,3,2025-03-13,15,10.0,Cancelled,upi,1889.18,120.57
7000147,402820,6130,1,2024-02-03,10,7.0,CANCELLED,COD,90.02,138.37
7000148,402573,6034,3,2024-08-19,30,23.0,Delivered,UPI,959.71,38.01
7000149,403872,6046,3,2023-09-10,30,27.0,CANCELLED,upi,1301.48,100.54
7000150,403195,6106,3,2023-04-03,15,2.0,delivered,UPI,1314.17,
7000151,400149,6121,3,2024-02-02,30,30.0,Cancelled,UPI,60.91,190.93
7000152,401511,6023,3,05-25-2024,15,2.0,Cancelled,upi,402.45,133.94
7000153,403827,6134,4,04-11-2025,20,18.0,CANCELLED,Wallet,2243.78,15.51
7000154,400094,6060,2,2024-07-11,30,35.0,In Transit,Card,2056.79,187.11
7000155,402799,6071,4,2024-12-02,10,18.0,Pending,Wallet,2813.32,166.67
7000156,401556,6119,1,2025-04-17,15,28.0,Returned,COD ,777.7,131.92
7000157,400107,6057,4,03-08-2025,30,17.0,delivered,Card,3294.7,155.46
7000158,403873,6142,1,2025-08-04,15,21.0,Cancelled,COD,313.63,143.76
7000159,400744,6121,1,2025-06-10,20,29.0,Cancelled,UPI,759.21,7.97
7000160,400701,6002,4,2023-09-06,10,17.0,Cancelled,Card,420.1,142.04
7000161,402106,6066,4,2023-01-31,10,2.0,delivered,COD,,172.78
7000162,403549,6140,3,2023-09-09,30,33.0,Returned,COD,1407.8,11.35
7000163,402727,6036,4,21/01/2023,15,29.0,delivered,UPI,3420.7,37.16
7000164,402359,6074,2,2025-07-21,15,3.0,Returned,upi,2703.17,53.9
7000165,400538,6061,3,27/09/2024,10,13.0,delivered,upi,2849.3,162.91
7000166,403718,6063,1,2024-06-15,30,38.0,delivered,Wallet,,147.62
7000167,400431,6123,2,2023-02-14,30,,Returned,COD,1296.66,21.49
7000168,401749,6059,2,13-Jul-2023,10,14.0,Returned,UPI,380.61,36.18
7000169,401844,6032,2,2023-10-12,10,2.0,delivered,Wallet,2694.86,15.55
7000170,402963,6034,4,30-Dec-2024,20,13.0,Pending,COD,687.96,51.43
7000171,400564,6103,4,2023-10-11,10,3.0,Cancelled,COD,482.1,18.49
7000172,401061,6017,4,2025-01-16,20,21.0,CANCELLED,Card,1760.11,40.33
7000173,403692,6003,2,2025-07-24,20,19.0,Pending,UPI,990.96,166.9
7000174,402449,6145,2,2025-07-14,15,22.0,delivered,Wallet,114.7,37.82
7000175,402755,6060,1,2023-05-20,10,2.0,CANCELLED,UPI,1731.52,12.62
7000176,401302,6118,2,2024-09-07,20,18.0,Cancelled,Card,2290.6,
7000177,403661,6017,2,2025-07-14,30,37.0,delivered,Card,2251.94,198.74
7000178,401851,6124,4,2025-05-28,20,24.0,Returned,Wallet,647.35,156.18
7000179,400190,6072,1,2025-06-27,10,2.0,Delivered,COD ,1894.83,137.41
7000180,400113,6025,3,2025-05-22,30,35.0,delivered,upi,1651.93,
7000181,400187,6004,3,2025-04-30,30,26.0,delivered,UPI,2890.28,62.88
7000182,401356,6086,3,2024-12-17,30,33.0,Cancelled,Card,2477.41,
7000183,402879,6057,2,01-17-2024,10,12.0,Delivered,upi,359.29,127.41
7000184,403842,6014,1,2024-06-29,20,29.0,In Transit,COD,2084.23,124.78
7000185,403281,6058,1,2025-01-09,30,30.0,Delivered,Wallet,873.92,4.59
7000186,402611,6134,3,2024-08-15,30,15.0,Returned,UPI,1709.51,129.13
7000187,402729,6041,2,23/11/2024,30,19.0,delivered,upi,3387.72,
7000188,400531,6010,3,2023-12-03,20,25.0,Returned,COD,2545.8,48.86
7000189,400191,6071,2,2023-05-10,20,17.0,Pending,UPI,2162.42,23.9
7000190,402907,6081,1,2025-01-13,20,,Pending,COD,900.02,34.61
7000191,401678,6046,1,2024-12-02,20,22.0,Pending,upi,626.2,11.79
7000192,400022,6058,4,2023-03-02,30,24.0,Delivered,upi,1493.04,182.42
7000193,401818,6061,2,23/12/2024,30,38.0,In Transit,UPI,2581.7,25.74
7000194,400741,6008,3,2025-01-02,20,13.0,Delivered,upi,1915.0,58.46
7000195,400154,6124,2,03-Nov-2023,10,2.0,Returned,COD ,208.56,114.06
7000196,401365,6112,4,2025-05-13,30,46.0,In Transit,upi,1478.34,140.72
7000197,401860,6063,3,2024-08-21,30,14.0,Delivered,Wallet,2679.92,48.45
7000198,403717,6061,3,2025-04-28,30,35.0,delivered,Card,3356.83,
7000199,404000,6002,4,2023-01-21,30,37.0,Returned,UPI,1614.59,154.32
7000200,400642,6104,4,2023-02-26,15,16.0,Cancelled,upi,1684.74,35.04
7000201,402808,6083,4,2023-02-18,30,16.0,Delivered,Wallet,263.75,160.11
7000202,401415,6092,4,2023-12-14,30,38.0,In Transit,Card,851.81,42.87
7000203,402812,6031,4,2023-01-28,30,18.0,Pending,Card,675.87,
7000204,403705,6048,4,2024-08-23,15,4.0,In Transit,upi,3456.74,
7000205,400165,6060,3,2025-01-07,10,7.0,In Transit,upi,2738.01,109.99
7000206,402301,6109,3,2025-03-30,10,16.0,Pending,COD,2685.07,104.43
7000207,400760,6008,1,07/07/2023,20,,Returned,COD,2930.97,57.86
7000208,402442,6133,1,2023-08-30,20,26.0,In Transit,UPI,1042.62,56.52
7000209,401464,6109,2,2023-07-02,30,26.0,Returned,UPI,936.05,190.9
7000210,400539,6023,2,2023-02-21,30,28.0,In Transit,COD,758.43,128.04
7000211,403330,6149,1,2023-10-26,20,10.0,Pending,COD,241.63,154.66
7000212,403509,6081,2,2024-12-30,10,7.0,In Transit,upi,3244.76,180.62
7000213,403465,6015,3,2023-11-04,30,34.0,Cancelled,UPI,1211.02,133.73
7000214,400393,6085,1,2023-04-15,10,7.0,CANCELLED,Card,3131.63,174.24
7000215,401915,6111,1,2024-03-30,15,18.0,In Transit,COD,839.8,94.19
7000216,401581,6016,1,2025-06-16,30,25.0,In Transit,COD ,562.7,36.97
7000217,400316,6028,3,2024-10-05,30,25.0,In Transit,Card,2639.18,125.55
7000218,401531,6055,4,2024-11-07,15,15.0,In Transit,Wallet,500.0,124.72
7000219,401251,6117,4,2023-09-06,15,13.0,In Transit,Card,2479.91,7.92
7000220,402638,6070,4,2025-07-04,20,24.0,CANCELLED,UPI,3481.62,5.92
7000221,403581,6145,3,2024-12-08,10,11.0,Pending,UPI,1585.4,149.84
7000222,400711,6016,1,2023-01-30,30,43.0,CANCELLED,Card,1417.23,131.65
7000223,403143,6055,3,2024-04-15,10,8.0,Pending,upi,2374.22,144.02
7000224,403681,6101,4,2023-01-18,10,8.0,In Transit,COD,2660.02,
7000225,403494,6048,1,2023-09-10,10,2.0,Cancelled,COD ,1575.3,195.37
7000226,400961,6017,2,2025-03-24,20,20.0,Pending,Wallet,1372.24,160.33
7000227,401982,6105,4,07-29-2023,30,35.0,Cancelled,Wallet,1924.0,70.62
7000228,400306,6113,4,2023-03-23,15,9.0,Cancelled,COD,2201.21,105.56
7000229,401681,6039,1,2023-05-22,15,14.0,Pending,UPI,1579.57,154.0
7000230,402297,6056,1,2023-02-19,20,25.0,Returned,COD ,3375.05,39.61
7000231,402481,6051,4,2023-06-05,30,28.0,In Transit,Wallet,2415.82,136.56
7000232,400376,6060,4,2024-07-27,15,10.0,CANCELLED,upi,2901.26,
7000233,401428,6063,3,2023-08-26,30,37.0,Returned,COD ,2005.92,114.52
7000234,402618,6128,4,2023-10-29,10,10.0,Returned,COD ,1168.18,
7000235,401344,6011,3,2023-06-03,10,13.0,Returned,UPI,1388.83,
7000236,400043,6132,2,15/05/2023,15,24.0,CANCELLED,upi,2023.87,104.93
7000237,402195,6038,2,2024-11-29,15,24.0,In Transit,Card,2313.06,131.86
7000238,403733,6054,4,2024-03-02,20,17.0,In Transit,upi,2139.69,133.72
7000239,400757,6046,3,24-Apr-2025,20,15.0,Returned,upi,802.09,157.85
7000240,400379,6017,1,23/02/2025,20,22.0,delivered,upi,2783.08,169.07
7000241,400405,6007,4,2024-10-19,10,8.0,Delivered,Card,1596.62,
7000242,402232,6141,1,2023-12-09,30,14.0,CANCELLED,Card,3267.73,88.81
7000243,403931,6107,3,2024-12-09,30,40.0,CANCELLED,upi,572.77,15.21
7000244,402328,6050,3,04-12-2024,10,10.0,Pending,COD ,565.58,181.56
7000245,401350,6150,4,2023-06-22,30,35.0,Pending,Card,877.79,66.44
7000246,403113,6001,3,2023-01-01,10,2.0,Returned,Card,1074.25,
7000247,400973,6035,4,24/03/2025,20,30.0,Pending,UPI,1842.51,38.17
7000248,400923,6094,3,2023-05-31,20,15.0,Cancelled,upi,1088.82,172.99
7000249,402317,6027,4,2024-01-12,20,19.0,CANCELLED,COD,2071.97,
7000250,400896,6120,2,2025-01-22,20,8.0,Pending,Wallet,3302.43,145.97
7000251,401814,6047,2,2023-01-03,20,18.0,Cancelled,COD,1030.64,31.23
7000252,403369,6005,2,2025-06-08,10,8.0,Returned,upi,2364.72,154.14
7000253,401491,6074,3,2025-05-19,30,28.0,CANCELLED,Card,1906.59,178.79
7000254,401254,6124,3,2023-07-30,15,18.0,Delivered,UPI,2633.98,57.99
7000255,403359,6113,4,2024-06-21,15,15.0,Delivered,Card,1243.75,149.79
7000256,401856,6094,2,2024-10-05,30,37.0,Returned,COD,1897.24,34.31
7000257,400164,6087,1,2024-04-10,10,6.0,Delivered,UPI,2998.3,13.42
7000258,401254,6082,3,2023-04-20,20,12.0,In Transit,upi,1702.79,178.18
7000259,402959,6133,1,2023-11-16,20,19.0,Returned,Card,726.6,114.35
7000260,401843,6079,3,2023-11-19,30,35.0,CANCELLED,upi,2394.72,140.2
7000261,401694,6121,3,2024-05-09,15,24.0,Returned,Wallet,3336.1,109.12
7000262,400191,6073,2,2023-07-08,15,21.0,Delivered,UPI,1089.21,
7000263,402332,6036,2,2025-03-11,10,2.0,Delivered,COD,2042.59,181.62
7000264,402883,6073,1,11-24-2023,10,13.0,Returned,COD ,1710.43,51.92
7000265,400766,6119,3,2024-06-22,10,21.0,Pending,COD ,3168.78,47.1
7000266,401015,6115,1,22/02/2023,15,,delivered,upi,2705.43,11.05
7000267,401794,6062,1,15-Nov-2024,10,5.0,Returned,upi,556.63,90.53
7000268,400808,6054,1,2023-11-04,30,32.0,Returned,COD,1675.47,115.84
7000269,400309,6138,2,2023-05-02,20,15.0,Delivered,UPI,3325.0,180.95
7000270,403148,6020,3,2025-05-16,15,20.0,In Transit,Card,1820.93,
7000271,400556,6021,2,09-21-2024,10,9.0,Pending,Card,430.62,162.99
7000272,401440,6054,1,2023-03-14,30,41.0,Delivered,Wallet,2945.45,145.6
7000273,402721,6019,3,2023-12-29,15,18.0,CANCELLED,Card,2052.5,
7000274,403626,6122,4,2025-06-13,10,4.0,Returned,Card,2223.42,
7000275,402832,6090,4,2023-04-28,30,34.0,CANCELLED,COD ,2287.55,176.48
7000276,402683,6102,4,2024-08-06,20,27.0,In Transit,COD ,3353.69,108.39
7000277,401976,6128,4,2023-11-07,30,25.0,Returned,COD,3377.18,
7000278,402544,6052,3,2023-02-24,30,26.0,Returned,UPI,1156.03,7.38
7000279,402659,6052,2,2025-05-15,10,2.0,CANCELLED,Card,1930.7,181.67
7000280,403714,6052,1,2023-05-09,10,17.0,delivered,COD ,492.22,81.12
7000281,403040,6070,3,23-Apr-2024,20,15.0,delivered,upi,847.62,197.56
7000282,403830,6041,2,2023-10-15,20,3.0,CANCELLED,UPI,3081.15,170.93
7000283,403886,6041,3,2024-09-07,20,5.0,Pending,COD,1447.43,180.51
7000284,403389,6008,4,2023-12-16,15,,delivered,upi,2614.78,
7000285,400048,6075,3,2023-04-11,10,16.0,Pending,Card,276.94,127.66
7000286,401510,6005,4,2023-05-18,10,,delivered,COD ,962.7,
7000287,402371,6023,1,31/10/2023,30,33.0,Returned,upi,2448.95,115.5
7000288,401169,6042,4,2023-08-18,30,21.0,Cancelled,upi,1824.02,120.75
7000289,401129,6041,3,18-Jun-2023,15,4.0,In Transit,COD,2188.84,
7000290,401188,6045,3,2024-01-25,30,37.0,Returned,upi,3169.61,87.82
7000291,401685,6097,2,05-11-2025,10,13.0,Pending,Card,2875.87,
7000292,403323,6126,4,2023-09-03,10,9.0,CANCELLED,upi,,151.05
7000293,402806,6079,3,2023-11-10,30,40.0,Cancelled,COD ,3121.17,
7000294,400572,6086,2,2024-06-18,15,7.0,Cancelled,COD,3133.39,146.29
7000295,403093,6135,1,2024-10-03,10,6.0,CANCELLED,COD ,1406.48,123.14
7000296,400743,6092,3,2024-04-17,20,28.0,CANCELLED,COD,3279.58,165.23
7000297,403209,6071,1,2023-04-01,10,24.0,Delivered,Card,2848.06,77.3
7000298,400167,6073,2,2024-03-22,30,30.0,Delivered,Wallet,631.65,194.97
7000299,401006,6050,1,2023-10-22,10,23.0,Returned,Wallet,1054.23,183.69
7000300,400307,6019,2,2023-10-09,15,10.0,Cancelled,COD ,2036.57,90.04
7000301,402886,6027,3,2023-02-12,10,,Cancelled,upi,3338.96,164.77
7000302,403676,6081,2,2023-07-05,15,13.0,delivered,Wallet,2771.4,132.13
7000303,401729,6129,3,2023-10-29,10,2.0,In Transit,upi,1133.67,173.67
7000304,402821,6055,1,2023-06-25,20,22.0,Delivered,upi,,
7000305,400124,6013,1,2023-07-28,10,17.0,Cancelled,Card,2149.73,191.61
7000306,401524,6071,1,2025-06-14,10,8.0,Returned,COD,279.38,69.57
7000307,403498,6055,3,2024-03-30,10,9.0,Pending,COD ,76.37,124.41
7000308,403071,6082,2,2023-08-12,20,31.0,Delivered,Card,894.73,99.66
7000309,402878,6029,1,2023-07-12,10,2.0,Cancelled,COD ,1712.1,194.54
7000310,401836,6050,4,15-Jan-2023,30,18.0,Delivered,Card,188.6,144.65
7000311,403283,6082,4,05-24-2023,10,4.0,In Transit,Card,1543.2,10.87
7000312,400123,6142,4,2024-03-07,30,20.0,Delivered,upi,723.4,108.65
7000313,402412,6146,1,2024-07-23,10,20.0,Delivered,COD,,136.89
7000314,402229,6024,2,2025-07-18,20,22.0,delivered,COD,2343.81,
7000315,403146,6093,3,2025-07-13,10,3.0,Pending,COD ,3424.4,14.21
7000316,402381,6075,4,2024-05-05,10,5.0,Cancelled,Wallet,2961.43,
7000317,403873,6099,1,06/10/2024,15,37.0,In Transit,Wallet,,59.02
7000318,499000,6083,1,2025-01-13,20,15.0,delivered,COD,508.12,50.79
7000319,400352,6112,3,2024-05-04,15,8.0,Returned,COD ,2048.31,
7000320,401345,6110,3,2023-10-01,20,22.0,CANCELLED,Wallet,2785.24,93.01
7000321,402784,6046,2,2024-06-16,30,,delivered,UPI,1510.79,157.67
7000322,401424,6141,1,2023-01-22,10,11.0,delivered,COD ,1970.99,7.26
7000323,400775,6105,2,2024-01-07,20,12.0,In Transit,UPI,1638.94,80.46
7000324,402666,6005,2,2023-01-27,15,5.0,Delivered,UPI,2418.28,47.65
7000325,400948,6015,3,2024-05-14,20,24.0,Returned,Card,1912.84,54.74
7000326,400130,6100,3,2024-09-28,10,9.0,Pending,Card,658.24,90.67
7000327,403178,6015,1,2025-03-07,15,2.0,delivered,Card,2685.46,86.66
7000328,403676,6041,3,2024-06-23,30,39.0,CANCELLED,upi,208.06,50.62
7000329,403022,6006,2,2025-01-02,20,26.0,In Transit,Card,3361.0,160.77
7000330,400163,6111,4,2023-05-29,30,28.0,Delivered,COD ,1927.2,36.02
7000331,403959,6077,2,02/05/2025,10,7.0,In Transit,Wallet,1890.3,193.95
7000332,402926,6026,2,2024-03-26,30,31.0,Delivered,COD,3175.3,184.66
