pnl_id,platform_id,city,month,revenue_inr,cogs_inr,delivery_cost_inr,marketing_spend_inr,employee_cost_inr,other_opex_inr,orders_count,profit_inr,profit_margin_percent,total_cost_inr,cost_to_revenue_percent,aov_inr
300028,2,Chennai,2024-05-01,15438169.11,11236154.16,2457525.86,979069.61,665099.73,824270.48,597390,-723950.73,-4.69,16162119.84,104.69,25.84
300029,2,Chennai,2023-08-01,13630335.85,7781818.74,1674717.47,1783869.97,834197.14,307032.77,100514,1248699.76,9.16,12381636.09,90.84,135.61
300030,2,Pune,2024-09-01,24753700.29,14008304.29,3283452.72,3246341.77,1973543.85,1467501.29,466184,774556.37,3.13,23979143.92,96.87,53.1
300031,2,Kolkata,2023-06-01,7479098.57,5012698.34,1233925.63,418089.51,549280.77,188129.46,92444,76974.86,1.03,7402123.71,98.97,80.9
300032,2,Kolkata,2023-04-01,15095244.77,8316946.84,2185799.22,931062.41,1195210.05,567736.47,91818,1898489.78,12.58,13196754.99,87.42,164.4
300033,2,Ahmedabad,2024-10-01,6946510.57,4664052.56,1073245.24,584129.11,334035.15,173579.83,289148,117468.68,1.69,6829041.89,98.31,24.02
300034,2,Jaipur,2024-04-01,23963394.55,15295033.28,2095460.13,3456695.49,2124748.49,1378670.21,176830,-387213.05,-1.62,24350607.6,101.62,135.52
300035,2,Lucknow,2024-09-01,21448362.79,14638138.5,2800066.06,1234750.62,1325933.88,608491.27,310882,840982.46,3.92,20607380.33,96.08,68.99
300036,2,Lucknow,2024-04-01,30632637.8,18693212.58,4635664.33,3114245.69,2301815.94,1089149.53,359297,798549.73,2.61,29834088.07,97.39,85.26
300037,2,Chandigarh,2023-09-01,11095893.45,7953610.26,940604.25,1061210.62,973105.19,579239.29,577814,-411876.16,-3.71,11507769.61,103.71,19.2
300038,2,Chandigarh,2023-05-01,9427639.3,6960209.24,1390478.27,1123282.54,613026.77,201883.67,587620,-861241.19,-9.14,10288880.49,109.14,16.04
300039,2,Kochi,2024-05-01,30409670.6,20535976.46,3319383.53,4061298.55,1327733.57,1260449.96,293900,-95171.47,-0.31,30504842.07,100.31,103.47
300040,2,Kochi,2024-09-01,5731804.15,3709980.53,580049.29,533417.18,503015.95,143477.57,406130,261863.63,4.57,5469940.52,95.43,14.11
300041,3,Mumbai,2024-12-01,23966915.8,16523425.67,4148146.38,1908525.25,1141433.57,790389.88,171580,-545004.95,-2.27,24511920.75,102.27,139.68
300042,3,Delhi,2023-03-01,6737003.55,4260582.72,1198217.08,682444.14,341888.77,399098.58,302936,-145227.74,-2.16,6882231.29,102.16,22.24
300043,3,Delhi,2023-04-01,29433432.56,18144247.17,3765580.06,2212658.53,1455486.57,1504476.36,431075,2350983.87,7.99,27082448.69,92.01,68.28
300044,3,Bengaluru,2024-09-01,32795984.21,23643995.75,2641598.62,4121120.12,2101094.84,1771622.18,492523,-1483447.3,-4.52,34279431.51,104.52,66.59
300045,3,Bengaluru,2023-03-01,7135004.27,4502066.84,711737.51,731277.89,532763.58,282035.89,368557,375122.56,5.26,6759881.71,94.74,19.36
300046,3,Hyderabad,2024-05-01,12978725.44,7719809.28,2246771.39,1300036.99,867010.75,450391.6,336220,394705.43,3.04,12584020.01,96.96,38.6
300047,3,Chennai,2023-11-01,32554585.0,19211779.5,3345383.67,4354964.08,1800495.34,994655.68,336220,2847306.73,8.75,29707278.27,91.25,96.83
300048,3,Chennai,2024-08-01,35989200.47,20459320.35,5015788.77,3484596.46,1588508.09,747495.58,227569,4693491.22,13.04,31295709.25,86.96,158.15
300049,3,Pune,2023-07-01,2272626.24,1314428.27,216404.36,180301.35,147304.18,131452.53,192007,282735.55,12.44,1989890.69,87.56,11.84
300050,3,Kolkata,2023-05-01,20909379.45,12889592.41,2881721.59,2281651.22,1396905.62,730303.89,280283,729204.72,3.49,20180174.73,96.51,74.6
300051,3,Ahmedabad,2024-07-01,27318865.11,16059669.43,2658259.9,3474847.94,2296227.15,994044.64,336220,1835816.05,6.72,25483049.06,93.28,81.25
300052,3,Ahmedabad,2023-10-01,29128005.95,17955966.85,3241300.73,1732064.74,2181733.22,1251626.95,336220,2765313.46,9.49,26362692.49,90.51,86.63
300053,3,Jaipur,2025-01-01,13222313.52,7402051.95,2171305.41,1313338.23,788372.61,765020.38,445053,782224.94,5.92,12440088.58,94.08,29.71
300054,3,Jaipur,2024-03-01,3039886.46,1873938.8,454892.63,414612.21,138605.46,112368.76,358295,45468.6,1.5,2994417.86,98.5,8.48
300055,3,Lucknow,2023-12-01,24525784.21,17376260.14,3740641.46,2557711.73,1896460.39,618194.05,595069,-1663483.56,-6.78,26189267.77,106.78,41.22
300056,3,Chandigarh,2024-07-01,9579994.21,7159815.24,1232333.99,488313.7,628016.92,567389.21,199514,-495874.85,-5.18,10075869.06,105.18,48.02
300057,3,Chandigarh,2024-12-01,13938439.8,7932701.96,1249228.64,1557552.13,794718.75,778044.26,389642,1626194.06,11.67,12312245.74,88.33,35.77
300058,3,Kochi,2023-03-01,31255725.5,22115369.35,3248630.85,2254021.78,2002417.22,1547959.36,101209,87326.94,0.28,31168398.56,99.72,308.82
300059,4,Mumbai,2024-11-01,2328303.49,1674097.77,300729.25,270724.75,156011.44,58316.18,317296,-131575.9,-5.65,2459879.39,105.65,7.34
300060,4,Mumbai,2023-01-01,27699149.0,16763175.93,4659608.3,4040009.34,1639234.19,967400.83,106803,-370279.59,-1.34,28069428.59,101.34,259.35
300061,4,Delhi,2024-06-01,19076085.06,11726866.35,3385697.58,1724321.29,1125072.06,543973.62,449093,570154.16,2.99,18505930.9,97.01,42.48
300062,4,Bengaluru,2024-03-01,8499773.81,6222898.12,1346851.11,1201272.36,502158.52,507832.84,251851,-1281239.14,-15.07,9781012.95,115.07,33.75
300063,4,Hyderabad,2024-02-01,16839033.43,10878698.56,1476352.54,2334347.85,725708.86,488165.65,455436,935759.97,5.56,15903273.46,94.44,36.97
300064,4,Chennai,2024-10-01,9724060.47,6508935.88,1373177.1,766103.69,531883.83,271974.65,75116,271985.32,2.8,9452075.15,97.2,129.45
300065,4,Pune,2024-11-01,30814986.57,20025304.08,3354371.47,3768555.33,2767001.61,948242.38,119720,-48488.3,-0.16,30863474.87,100.16,257.39
300066,4,Kolkata,2023-10-01,4622989.29,3189362.57,375849.26,410692.61,225090.13,142259.17,259517,279735.55,6.05,4343253.74,93.95,17.81
300067,4,Kolkata,2023-05-01,24852738.1,16891082.77,3870923.28,3475488.05,1468276.03,764771.37,295365,-1617803.4,-6.51,26470541.5,106.51,84.14
300068,4,Ahmedabad,2024-01-01,43058797.18,28822008.12,7537283.91,3775986.75,2901137.3,2503390.04,374234,-2481008.94,-5.76,45539806.12,105.76,115.06
300069,4,Ahmedabad,2024-06-01,40320239.92,26939449.9,6367053.74,5268407.13,2219637.98,1200246.52,471632,-1674555.35,-4.15,41994795.27,104.15,85.49
300070,4,Jaipur,2024-10-01,31803902.65,21327549.02,3195914.83,3698016.01,2783456.18,874948.55,265116,-75981.94,-0.24,31879884.59,100.24,119.96
300071,4,Lucknow,2023-08-01,30949516.58,19648687.59,4240847.84,1669152.45,1699752.56,952382.15,544991,2738693.99,8.85,28210822.59,91.15,56.79
300072,4,Lucknow,2023-02-01,38827721.3,23775084.5,3329418.18,3864742.13,1811138.29,1529198.68,276647,4518139.52,11.64,34309581.78,88.36,140.35
300073,4,Chandigarh,2023-05-01,2912281.57,2072585.55,300612.45,349174.78,239780.53,164548.45,191533,-214420.19,-7.36,3126701.76,107.36,15.21
300074,4,Kochi,2024-06-01,35647472.36,25956440.38,4072514.88,2052505.1,2560899.47,1937296.24,20972,-932183.71,-2.62,36579656.07,102.62,1699.77
