inventory_id,store_id,product_id,stock_units,reorder_level,last_restock_date,expiry_date
500043,6092,30778,334.0,88.0,2026-08-18,2026-08-19
500044,6088,30971,160.0,42.0,2026-08-18,2026-08-19
500045,6001,30150,164.0,84.0,2026-08-18,2026-08-19
500046,6037,31211,150.0,87.0,2026-08-18,2026-08-19
500047,6141,31132,396.0,50.0,2026-08-18,2026-08-19
500048,6120,31153,361.0,44.0,2026-08-18,2026-08-19
500049,6021,30256,32.0,42.0,2026-08-18,2026-08-19
500050,6047,31300,586.0,85.0,2026-08-18,2026-08-19
500051,6017,31370,382.0,59.0,2026-08-18,2026-08-19
500052,6146,30927,242.0,72.0,2026-08-18,2026-08-19
500053,6094,31092,369.0,86.0,2026-08-18,2026-08-19
500054,6045,30024,137.0,72.0,2026-08-18,2026-08-19
500055,6075,30423,357.0,42.0,2026-08-18,2026-08-19
500056,6147,30913,287.0,38.0,2026-08-18,2026-08-19
500057,6145,30706,154.0,36.0,2026-08-18,2026-08-19
500058,6123,30860,584.0,89.0,2026-08-18,2026-08-19
500059,6091,30744,644.0,74.0,2026-08-18,2026-08-19
500060,6037,31425,87.0,78.0,2026-08-18,2026-08-19
500061,6146,31019,125.0,57.0,2026-08-18,2026-08-19
500062,6062,30342,293.0,98.0,2026-08-18,2026-08-19
500063,6020,30502,39.0,98.0,2026-08-18,2026-08-19
500064,6076,30313,88.0,48.0,2026-08-18,2026-08-19
500065,6127,31429,228.0,52.61587436332768,2026-08-18,2026-08-19
500066,6005,30303,150.0,76.0,2026-08-18,2026-08-19
500067,6083,30626,468.0,28.0,2026-08-18,2026-08-19
500068,6147,30481,665.0,24.0,2026-08-18,2026-08-19
500069,6037,30191,3.0,71.0,2026-08-18,2026-08-19
500070,6047,30547,654.0,65.0,2026-08-18,2026-08-19
500071,6129,30634,299.0,52.61587436332768,2026-08-18,2026-08-19
500072,6102,30733,403.0,61.0,2026-08-18,2026-08-19
500073,6017,30645,719.0,27.0,2026-08-18,2026-08-19
500074,6055,31350,261.0,95.0,2026-08-18,2026-08-19
500075,6106,31380,124.0,85.0,2026-08-18,2026-08-19
500076,6035,31153,362.0,30.0,2026-08-18,2026-08-19
500077,6100,30083,730.0,27.0,2026-08-18,2026-08-19
500078,6033,30936,549.0,27.0,2026-08-18,2026-08-19
500079,6016,31339,109.0,26.0,2026-08-18,2026-08-19
500080,6023,31404,742.0,36.0,2026-08-18,2026-08-19
500081,6027,30103,301.0,23.0,2026-08-18,2026-08-19
500082,6011,30865,0.0,80.0,2026-08-18,2026-08-19
500083,6027,30899,68.0,52.61587436332768,2026-08-18,2026-08-19
500084,6148,30158,96.0,5.0,2026-08-18,2026-08-19
500085,6138,31328,0.0,55.0,2026-08-18,2026-08-19
500086,6012,30359,473.0,27.0,2026-08-18,2026-08-19
500087,6029,31121,48.0,65.0,2026-08-18,2026-08-19
500088,6003,31025,248.0,22.0,2026-08-18,2026-08-19
500089,6061,30398,32.0,25.0,2026-08-18,2026-08-19
500090,6120,31226,452.0,83.0,2026-08-18,2026-08-19
500091,6102,30708,65.0,12.0,2026-08-18,2026-08-19
500092,6019,31074,721.0,45.0,2026-08-18,2026-08-19
500093,6023,31002,723.0,54.0,2026-08-18,2026-08-19
500094,6122,30690,774.0,44.0,2026-08-18,2026-08-19
500095,6098,30132,436.0,75.0,2026-08-18,2026-08-19
500096,6119,31176,328.0,86.0,2026-08-18,2026-08-19
500097,6077,30982,247.0,50.0,2026-08-18,2026-08-19
500098,6110,30415,305.0,100.0,2026-08-18,2026-08-19
500099,6081,31498,792.0,53.0,2026-08-18,2026-08-19
500100,6013,30344,218.0,88.0,2026-08-18,2026-08-19
500101,6117,30992,177.0,52.0,2026-08-18,2026-08-19
500102,6071,31298,84.0,44.0,2026-08-18,2026-08-19
500103,6129,30585,132.0,16.0,2026-08-18,2026-08-19
500104,6089,30199,125.0,24.0,2026-08-18,2026-08-19
500105,6121,30295,536.0,78.0,2026-08-18,2026-08-19
500106,6041,30413,443.0,39.0,2026-08-18,2026-08-19
500107,6139,30192,706.0,95.0,2026-08-18,2026-08-19
500108,6040,30637,192.0,68.0,2026-08-18,2026-08-19
500109,6099,30210,0.0,7.0,2026-08-18,2026-08-19
500110,6074,30175,598.0,90.0,2026-08-18,2026-08-19
500111,6141,30166,510.0,52.61587436332768,2026-08-18,2026-08-19
500112,6050,30103,319.0,93.0,2026-08-18,2026-08-19
500113,6024,30630,452.0,44.0,2026-08-18,2026-08-19
500114,6030,30061,347.0,68.0,2026-08-18,2026-08-19
500115,6049,30155,0.0,57.0,2026-08-18,2026-08-19
500116,6134,31383,0.0,25.0,2026-08-18,2026-08-19
500117,6121,30205,0.0,60.0,2026-08-18,2026-08-19
500118,6059,30122,705.0,34.0,2026-08-18,2026-08-19
500119,6109,31360,288.0,77.0,2026-08-18,2026-08-19
500120,6016,30915,68.0,38.0,2026-08-18,2026-08-19
500121,6108,31431,612.0,52.61587436332768,2026-08-18,2026-08-19
500122,6042,30410,0.0,93.0,2026-08-18,2026-08-19
500123,6124,30547,506.0,84.0,2026-08-18,2026-08-19
500124,6025,31017,182.0,63.0,2026-08-18,2026-08-19
500125,6034,30159,0.0,48.0,2026-08-18,2026-08-19
500126,6077,30452,393.0,63.0,2026-08-18,2026-08-19
500127,6065,30689,721.0,83.0,2026-08-18,2026-08-19
500128,6022,31448,562.0,64.0,2026-08-18,2026-08-19
500129,6124,30873,295.0,20.0,2026-08-18,2026-08-19
500130,6121,30488,349.0,72.0,2026-08-18,2026-08-19
500131,6059,31046,520.0,14.0,2026-08-18,2026-08-19
500132,6134,30426,130.0,29.0,2026-08-18,2026-08-19
500133,6055,31004,92.0,52.61587436332768,2026-08-18,2026-08-19
500134,6091,30003,687.0,64.0,2026-08-18,2026-08-19
500135,6040,31499,73.0,71.0,2026-08-18,2026-08-19
500136,6133,30729,597.0,23.0,2026-08-18,2026-08-19
500137,6038,30179,133.0,31.0,2026-08-18,2026-08-19
500138,6141,31023,539.0,75.0,2026-08-18,2026-08-19
500139,6136,30977,514.0,97.0,2026-08-18,2026-08-19
500140,6132,31195,534.0,16.0,2026-08-18,2026-08-19
500141,6140,31083,671.0,27.0,2026-08-18,2026-08-19
500142,6015,30679,383.0,50.0,2026-08-18,2026-08-19
500143,6065,30354,396.0,12.0,2026-08-18,2026-08-19
500144,6102,30741,0.0,61.0,2026-08-18,2026-08-19
500145,6122,30304,540.0,82.0,2026-08-18,2026-08-19
500146,6046,31375,411.0,69.0,2026-08-18,2026-08-19
500147,6130,30782,184.0,36.0,2026-08-18,2026-08-19
500148,6043,30513,571.0,49.0,2026-08-18,2026-08-19
500149,6149,30456,666.0,78.0,2026-08-18,2026-08-19
500150,6112,31184,470.0,46.0,2026-08-18,2026-08-19
500151,6101,30687,376.0,91.0,2026-08-18,2026-08-19
500152,6135,30606,346.0,74.0,2026-08-18,2026-08-19
500153,6066,30684,379.0,83.0,2026-08-18,2026-08-19
500154,6150,30167,535.0,24.0,2026-08-18,2026-08-19
500155,6120,30149,644.0,53.0,2026-08-18,2026-08-19
500156,6129,31035,153.0,68.0,2026-08-18,2026-08-19
500157,6138,30020,616.0,20.0,2026-08-18,2026-08-19
500158,6003,30618,379.0,92.0,2026-08-18,2026-08-19
500159,6121,30670,654.0,78.0,2026-08-18,2026-08-19
500160,6071,31133,311.0,30.0,2026-08-18,2026-08-19
500161,6124,30005,708.0,7.0,2026-08-18,2026-08-19
500162,6078,30463,344.0,67.0,2026-08-18,2026-08-19
500163,6137,30328,159.0,86.0,2026-08-18,2026-08-19
500164,6089,30140,760.0,8.0,2026-08-18,2026-08-19
500165,6016,31416,276.0,50.0,2026-08-18,2026-08-19
500166,6002,30832,0.0,20.0,2026-08-18,2026-08-19
500167,6008,30068,460.0,39.0,2026-08-18,2026-08-19
500168,6132,30150,577.0,65.0,2026-08-18,2026-08-19
500169,6135,30216,783.0,89.0,2026-08-18,2026-08-19
500170,6104,30639,407.0,83.0,2026-08-18,2026-08-19
500171,6132,31158,0.0,27.0,2026-08-18,2026-08-19
500172,6116,31282,718.0,65.0,2026-08-18,2026-08-19
500173,6113,31060,790.0,79.0,2026-08-18,2026-08-19
500174,6049,30482,120.0,80.0,2026-08-18,2026-08-19
500175,6060,30672,619.0,82.0,2026-08-18,2026-08-19
500176,6026,30514,513.0,12.0,2026-08-18,2026-08-19
500177,6146,30657,704.0,79.0,2026-08-18,2026-08-19
500178,6144,30265,436.0,46.0,2026-08-18,2026-08-19
500179,6096,31285,791.0,18.0,2026-08-18,2026-08-19
500180,6138,30179,101.0,52.61587436332768,2026-08-18,2026-08-19
500181,6090,31455,12.0,88.0,2026-08-18,2026-08-19
500182,6045,30492,117.0,33.0,2026-08-18,2026-08-19
500183,6020,30736,420.0,58.0,2026-08-18,2026-08-19
500184,6128,30800,382.0,44.0,2026-08-18,2026-08-19
500185,6041,31085,167.0,28.0,2026-08-18,2026-08-19
500186,6057,31240,202.0,5.0,2026-08-18,2026-08-19
500187,6076,31204,168.0,60.0,2026-08-18,2026-08-19
500188,6010,30100,529.0,55.0,2026-08-18,2026-08-19
500189,6004,31050,329.0,33.0,2026-08-18,2026-08-19
500190,6113,31051,782.0,21.0,2026-08-18,2026-08-19
500191,6050,30826,292.0,9.0,2026-08-18,2026-08-19
500192,6083,31390,738.0,25.0,2026-08-18,2026-08-19
500193,6031,30157,687.0,18.0,2026-08-18,2026-08-19
500194,6008,30297,678.0,84.0,2026-08-18,2026-08-19
500195,6115,31294,293.0,55.0,2026-08-18,2026-08-19
500196,6124,30858,780.0,82.0,2026-08-18,2026-08-19
500197,6076,31377,764.0,94.0,2026-08-18,2026-08-19
500198,6133,30309,73.0,6.0,2026-08-18,2026-08-19
500199,6001,30467,291.0,44.0,2026-08-18,2026-08-19
500200,6096,30086,522.0,42.0,2026-08-18,2026-08-19
500201,6143,31028,566.0,45.0,2026-08-18,2026-08-19
500202,6126,30337,54.0,35.0,2026-08-18,2026-08-19
500203,6130,30344,390.0,52.61587436332768,2026-08-18,2026-08-19
500204,6085,30218,41.0,62.0,2026-08-18,2026-08-19
500205,6010,30973,304.0,52.61587436332768,2026-08-18,2026-08-19
500206,6136,30957,346.0,65.0,2026-08-18,2026-08-19
500207,6022,31382,150.0,100.0,2026-08-18,2026-08-19
500208,6137,30595,743.0,75.0,2026-08-18,2026-08-19
500209,6115,30509,731.0,51.0,2026-08-18,2026-08-19
500210,6131,30538,575.0,59.0,2026-08-18,2026-08-19
500211,6137,31397,450.0,19.0,2026-08-18,2026-08-19
500212,6094,30087,405.0,61.0,2026-08-18,2026-08-19
500213,6090,30068,54.0,35.0,2026-08-18,2026-08-19
500214,6120,31499,462.0,94.0,2026-08-18,2026-08-19
500215,6071,30783,723.0,5.0,2026-08-18,2026-08-19
500216,6112,31017,462.0,48.0,2026-08-18,2026-08-19
500217,6098,30161,165.0,39.0,2026-08-18,2026-08-19
500218,6076,30906,69.0,52.61587436332768,2026-08-18,2026-08-19
500219,6053,30319,577.0,98.0,2026-08-18,2026-08-19
500220,6146,31119,787.0,53.0,2026-08-18,2026-08-19
500221,6100,30695,458.0,55.0,2026-08-18,2026-08-19
500222,6121,30013,376.0,88.0,2026-08-18,2026-08-19
500223,6106,30225,670.0,49.0,2026-08-18,2026-08-19
500224,6111,30943,673.0,37.0,2026-08-18,2026-08-19
500225,6093,30041,135.0,52.61587436332768,2026-08-18,2026-08-19
500226,6109,31416,320.0,13.0,2026-08-18,2026-08-19
500227,6050,30393,401.0,53.0,2026-08-18,2026-08-19
500228,6077,30920,669.0,80.0,2026-08-18,2026-08-19
500229,6062,30259,204.0,54.0,2026-08-18,2026-08-19
500230,6135,31051,694.0,100.0,2026-08-18,2026-08-19
500231,6034,30542,221.0,48.0,2026-08-18,2026-08-19
500232,6051,31476,643.0,56.0,2026-08-18,2026-08-19
500233,6008,30069,629.0,17.0,2026-08-18,2026-08-19
500234,6093,31168,421.0,12.0,2026-08-18,2026-08-19
500235,6093,30543,140.0,93.0,2026-08-18,2026-08-19
500236,6007,31021,56.0,97.0,2026-08-18,2026-08-19
500237,6081,30335,657.0,81.0,2026-08-18,2026-08-19
500238,6146,30022,119.0,74.0,2026-08-18,2026-08-19
500239,6094,30672,700.0,77.0,2026-08-18,2026-08-19
500240,6002,30304,244.0,62.0,2026-08-18,2026-08-19
500241,6117,30590,623.0,84.0,2026-08-18,2026-08-19
500242,6123,30456,612.0,29.0,2026-08-18,2026-08-19
500243,6086,31482,137.0,92.0,2026-08-18,2026-08-19
500244,6100,30487,338.0,69.0,2026-08-18,2026-08-19
500245,6104,30350,525.0,81.0,2026-08-18,2026-08-19
500246,6103,30131,639.0,30.0,2026-08-18,2026-08-19
500247,6142,30364,68.0,70.0,2026-08-18,2026-08-19
500248,6024,30440,0.0,30.0,2026-08-18,2026-08-19
500249,6116,30183,80.0,43.0,2026-08-18,2026-08-19
500250,6090,31321,699.0,84.0,2026-08-18,2026-08-19
500251,6012,30691,656.0,7.0,2026-08-18,2026-08-19
500252,6033,30585,277.0,46.0,2026-08-18,2026-08-19
500253,6113,30740,726.0,71.0,2026-08-18,2026-08-19
500254,6062,30569,0.0,55.0,2026-08-18,2026-08-19
500255,6095,30556,0.0,94.0,2026-08-18,2026-08-19
500256,6105,31457,21.0,39.0,2026-08-18,2026-08-19
500257,6102,30056,621.0,55.0,2026-08-18,2026-08-19
500258,6015,30435,780.0,71.0,2026-08-18,2026-08-19
500259,6144,30903,583.0,41.0,2026-08-18,2026-08-19
500260,6101,31470,441.0,81.0,2026-08-18,2026-08-19
500261,6086,30604,332.0,78.0,2026-08-18,2026-08-19
500262,6049,31255,779.0,37.0,2026-08-18,2026-08-19
500263,6134,30680,86.0,20.0,2026-08-18,2026-08-19
500264,6101,30527,661.0,56.0,2026-08-18,2026-08-19
500265,6104,30673,647.0,80.0,2026-08-18,2026-08-19
500266,6150,30276,669.0,86.0,2026-08-18,2026-08-19
500267,6027,31356,195.0,46.0,2026-08-18,2026-08-19
500268,6047,30978,84.0,82.0,2026-08-18,2026-08-19
500269,6004,30769,65.0,46.0,2026-08-18,2026-08-19
500270,6029,30002,747.0,12.0,2026-08-18,2026-08-19
500271,6009,30926,257.0,91.0,2026-08-18,2026-08-19
500272,6116,31058,382.0,19.0,2026-08-18,2026-08-19
500273,6013,31337,738.0,98.0,2026-08-18,2026-08-19
500274,6136,30499,516.0,5.0,2026-08-18,2026-08-19
500275,6007,30072,755.0,40.0,2026-08-18,2026-08-19
500276,6104,31001,625.0,52.61587436332768,2026-08-18,2026-08-19
500277,6020,31118,736.0,53.0,2026-08-18,2026-08-19
500278,6104,30276,103.0,99.0,2026-08-18,2026-08-19
500279,6020,30792,761.0,9.0,2026-08-18,2026-08-19
500280,6036,31052,52.0,7.0,2026-08-18,2026-08-19
500281,6075,30626,408.0,94.0,2026-08-18,2026-08-19
500282,6041,31115,702.0,85.0,2026-08-18,2026-08-19
500283,6127,30729,532.0,55.0,2026-08-18,2026-08-19
500284,6085,30084,1.0,37.0,2026-08-18,2026-08-19
500285,6112,30975,160.0,20.0,2026-08-18,2026-08-19
500286,6067,30615,632.0,64.0,2026-08-18,2026-08-19
500287,6100,30975,538.0,23.0,2026-08-18,2026-08-19
500288,6105,31274,583.0,18.0,2026-08-18,2026-08-19
500289,6071,31045,662.0,46.0,2026-08-18,2026-08-19
500290,6126,30937,427.0,90.0,2026-08-18,2026-08-19
500291,6039,31421,717.0,37.0,2026-08-18,2026-08-19
500292,6071,30771,358.0,52.0,2026-08-18,2026-08-19
500293,6115,30096,97.0,29.0,2026-08-18,2026-08-19
500294,6010,30505,540.0,23.0,2026-08-18,2026-08-19
500295,6071,30633,148.0,73.0,2026-08-18,2026-08-19
500296,6051,30428,26.0,74.0,2026-08-18,2026-08-19
500297,6055,30898,136.0,13.0,2026-08-18,2026-08-19
500298,6009,30219,459.0,52.61587436332768,2026-08-18,2026-08-19
500299,6140,30499,109.0,14.0,2026-08-18,2026-08-19
500300,6037,30808,543.0,92.0,2026-08-18,2026-08-19
500301,6101,30779,217.0,16.0,2026-08-18,2026-08-19
500302,6096,30379,750.0,56.0,2026-08-18,2026-08-19
500303,6029,30566,36.0,72.0,2026-08-18,2026-08-19
500304,6134,31337,84.0,30.0,2026-08-18,2026-08-19
500305,6130,30782,367.0,78.0,2026-08-18,2026-08-19
500306,6061,30442,648.0,18.0,2026-08-18,2026-08-19
500307,6087,31486,0.0,69.0,2026-08-18,2026-08-19
500308,6055,30789,619.0,68.0,2026-08-18,2026-08-19
500309,6007,31073,330.0,52.61587436332768,2026-08-18,2026-08-19
500310,6039,31194,331.0,100.0,2026-08-18,2026-08-19
500311,6010,30939,13.0,16.0,2026-08-18,2026-08-19
500312,6100,31213,532.0,21.0,2026-08-18,2026-08-19
500313,6081,30055,692.0,26.0,2026-08-18,2026-08-19
500314,6020,30893,169.0,43.0,2026-08-18,2026-08-19
500315,6012,31100,452.0,30.0,2026-08-18,2026-08-19
500316,6076,31412,342.0,100.0,2026-08-18,2026-08-19
500317,6141,31253,464.0,7.0,2026-08-18,2026-08-19
500318,6018,31245,328.0,37.0,2026-08-18,2026-08-19
500319,6116,30285,0.0,61.0,2026-08-18,2026-08-19
500320,6004,30200,298.0,24.0,2026-08-18,2026-08-19
500321,6130,31064,577.0,48.0,2026-08-18,2026-08-19
500322,6144,30824,265.0,47.0,2026-08-18,2026-08-19
500323,6057,30024,368.0,24.0,2026-08-18,2026-08-19
500324,6067,31285,439.0,73.0,2026-08-18,2026-08-19
500325,6084,30985,148.0,14.0,2026-08-18,2026-08-19
500326,6069,30944,784.0,34.0,2026-08-18,2026-08-19
500327,6147,30489,759.0,70.0,2026-08-18,2026-08-19
500328,6052,30454,654.0,21.0,2026-08-18,2026-08-19
500329,6120,31113,63.0,73.0,2026-08-18,2026-08-19
500330,6021,30331,181.0,68.0,2026-08-18,2026-08-19
500331,6087,30477,25.0,38.0,2026-08-18,2026-08-19
500332,6093,30031,76.0,63.0,2026-08-18,2026-08-19
500333,6036,31010,0.0,78.0,2026-08-18,2026-08-19
500334,6055,31031,313.0,69.0,2026-08-18,2026-08-19
500335,6084,30065,591.0,69.0,2026-08-18,2026-08-19
500336,6071,31111,369.0,94.0,2026-08-18,2026-08-19
500337,6016,30554,735.0,23.0,2026-08-18,2026-08-19
500338,6009,30679,51.0,78.0,2026-08-18,2026-08-19
500339,6083,30940,144.0,5.0,2026-08-18,2026-08-19
500340,6104,30353,0.0,88.0,2026-08-18,2026-08-19
500341,6001,31138,0.0,70.0,2026-08-18,2026-08-19
500342,6031,30085,0.0,74.0,2026-08-18,2026-08-19
500343,6140,31403,407.0,44.0,2026-08-18,2026-08-19
500344,6010,30747,266.0,5.0,2026-08-18,2026-08-19
500345,6055,30501,578.0,11.0,2026-08-18,2026-08-19
500346,6024,30394,375.0,86.0,2026-08-18,2026-08-19
500347,6018,31480,568.0,5.0,2026-08-18,2026-08-19
500348,6010,31247,657.0,6.0,2026-08-18,2026-08-19
500349,6060,30621,88.0,93.0,2026-08-18,2026-08-19
500350,6089,30187,716.0,51.0,2026-08-18,2026-08-19
500351,6072,30158,607.0,14.0,2026-08-18,2026-08-19
500352,6006,31195,326.0,32.0,2026-08-18,2026-08-19
500353,6079,30557,677.0,70.0,2026-08-18,2026-08-19
500354,6149,30009,348.0,89.0,2026-08-18,2026-08-19
500355,6104,31360,463.0,46.0,2026-08-18,2026-08-19
500356,6078,31315,756.0,14.0,2026-08-18,2026-08-19
500357,6066,30231,339.0,93.0,2026-08-18,2026-08-19
500358,6063,30052,147.0,31.0,2026-08-18,2026-08-19
500359,6046,31177,450.0,60.0,2026-08-18,2026-08-19
500360,6088,30543,492.0,37.0,2026-08-18,2026-08-19
500361,6060,30116,0.0,71.0,2026-08-18,2026-08-19
500362,6135,30277,252.0,16.0,2026-08-18,2026-08-19
500363,6113,30901,118.0,16.0,2026-08-18,2026-08-19
500364,6071,30950,52.0,82.0,2026-08-18,2026-08-19
500365,6021,31406,767.0,38.0,2026-08-18,2026-08-19
500366,6035,30186,278.0,52.0,2026-08-18,2026-08-19
500367,6134,31136,194.0,50.0,2026-08-18,2026-08-19
500368,6105,31115,158.0,59.0,2026-08-18,2026-08-19
500369,6104,30124,586.0,18.0,2026-08-18,2026-08-19
500370,6030,31077,18.0,52.61587436332768,2026-08-18,2026-08-19
500371,6032,30372,0.0,15.0,2026-08-18,2026-08-19
500372,6145,30081,34.0,7.0,2026-08-18,2026-08-19
500373,6056,30194,787.0,52.61587436332768,2026-08-18,2026-08-19
500374,6114,30216,548.0,62.0,2026-08-18,2026-08-19
500375,6024,30658,719.0,72.0,2026-08-18,2026-08-19
500376,6106,30364,513.0,19.0,2026-08-18,2026-08-19
500377,6060,30712,460.0,60.0,2026-08-18,2026-08-19
500378,6046,30059,118.0,41.0,2026-08-18,2026-08-19
500379,6043,30187,319.0,21.0,2026-08-18,2026-08-19
500380,6065,30293,313.0,82.0,2026-08-18,2026-08-19
500381,6148,30353,748.0,86.0,2026-08-18,2026-08-19
500382,6101,30209,726.0,19.0,2026-08-18,2026-08-19
500383,6109,31297,130.0,58.0,2026-08-18,2026-08-19
500384,6070,30691,786.0,51.0,2026-08-18,2026-08-19
500385,6110,30662,0.0,82.0,2026-08-18,2026-08-19
500386,6011,30556,53.0,71.0,2026-08-18,2026-08-19
500387,6106,30344,706.0,89.0,2026-08-18,2026-08-19
500388,6115,31075,0.0,52.61587436332768,2026-08-18,2026-08-19
500389,6031,31376,246.0,90.0,2026-08-18,2026-08-19
500390,6083,31184,583.0,91.0,2026-08-18,2026-08-19
500391,6131,30509,195.0,60.0,2026-08-18,2026-08-19
500392,6034,31373,347.0,72.0,2026-08-18,2026-08-19
500393,6141,31396,583.0,75.0,2026-08-18,2026-08-19
500394,6143,30803,507.0,57.0,2026-08-18,2026-08-19
500395,6010,31129,331.0,20.0,2026-08-18,2026-08-19
500396,6118,30977,654.0,79.0,2026-08-18,2026-08-19
500397,6048,30246,40.0,29.0,2026-08-18,2026-08-19
500398,6011,31451,235.0,10.0,2026-08-18,2026-08-19
500399,6001,31014,452.0,94.0,2026-08-18,2026-08-19
500400,6098,31068,94.0,24.0,2026-08-18,2026-08-19
500401,6108,31298,565.0,91.0,2026-08-18,2026-08-19
500402,6113,30430,28.0,8.0,2026-08-18,2026-08-19
500403,6036,31408,308.0,80.0,2026-08-18,2026-08-19
500404,6125,30985,617.0,52.61587436332768,2026-08-18,2026-08-19
500405,6107,30914,537.0,92.0,2026-08-18,2026-08-19
500406,6096,30040,293.0,71.0,2026-08-18,2026-08-19
500407,6108,30086,623.0,33.0,2026-08-18,2026-08-19
500408,6063,31073,204.0,24.0,2026-08-18,2026-08-19
500409,6047,30729,265.0,50.0,2026-08-18,2026-08-19
500410,6143,31208,410.0,61.0,2026-08-18,2026-08-19
500411,6127,30207,602.0,35.0,2026-08-18,2026-08-19
500412,6063,30465,132.0,16.0,2026-08-18,2026-08-19
500413,6084,30692,519.0,88.0,2026-08-18,2026-08-19
500414,6150,30304,218.0,58.0,2026-08-18,2026-08-19
500415,6014,30120,202.0,40.0,2026-08-18,2026-08-19
500416,6116,30970,233.0,82.0,2026-08-18,2026-08-19
500417,6037,31132,315.0,93.0,2026-08-18,2026-08-19
500418,6029,30094,380.0,7.0,2026-08-18,2026-08-19
500419,6116,30123,59.0,38.0,2026-08-18,2026-08-19
500420,6041,31088,661.0,100.0,2026-08-18,2026-08-19
500421,6108,30972,38.0,99.0,2026-08-18,2026-08-19
500422,6108,30078,365.0,36.0,2026-08-18,2026-08-19
500423,6086,31377,0.0,46.0,2026-08-18,2026-08-19
500424,6112,30836,612.0,55.0,2026-08-18,2026-08-19
500425,6052,30976,778.0,83.0,2026-08-18,2026-08-19
500426,6079,31052,231.0,56.0,2026-08-18,2026-08-19
500427,6102,31300,452.0,60.0,2026-08-18,2026-08-19
500428,6034,31387,773.0,18.0,2026-08-18,2026-08-19
500429,6069,31207,234.0,57.0,2026-08-18,2026-08-19
500430,6085,30821,535.0,98.0,2026-08-18,2026-08-19
500431,6021,30187,255.0,50.0,2026-08-18,2026-08-19
500432,6116,30739,359.0,28.0,2026-08-18,2026-08-19
500433,6064,30989,768.0,76.0,2026-08-18,2026-08-19
500434,6093,30392,201.0,29.0,2026-08-18,2026-08-19
500435,6122,31330,407.0,52.61587436332768,2026-08-18,2026-08-19
500436,6138,30228,237.0,76.0,2026-08-18,2026-08-19
500437,6072,31263,699.0,7.0,2026-08-18,2026-08-19
500438,6150,31045,509.0,21.0,2026-08-18,2026-08-19
500439,6038,31201,694.0,53.0,2026-08-18,2026-08-19
500440,6122,31326,4.0,52.61587436332768,2026-08-18,2026-08-19
500441,6019,30616,771.0,52.61587436332768,2026-08-18,2026-08-19
500442,6027,30910,7.0,44.0,2026-08-18,2026-08-19
500443,6120,31008,671.0,17.0,2026-08-18,2026-08-19
500444,6102,31328,642.0,93.0,2026-08-18,2026-08-19
500445,6031,30576,471.0,38.0,2026-08-18,2026-08-19
500446,6084,30179,22.0,52.61587436332768,2026-08-18,2026-08-19
