store_id,platform_id,store_name,city,pincode,sqft_area,opened_date,city_clean,clean_store_name,pincode_status
6035,4,Chandigarh Dark Store 6035,Pune,Unknown,3045.0,2025-10-05,Pune,Chandigarh Dark Store,Invalid
6036,2,Kolkata Dark Store 6036,Hyderabad,528820,2029.0,2021-09-13,Hyderabad,Kolkata Dark Store,Valid
6037,2,Lucknow Dark Store 6037,Pune,826330,2516.0,2022-11-20,Pune,Lucknow Dark Store,Valid
6038,4,Chandigarh Dark Store 6038,Lucknow,839548,2916.0,2023-09-22,Lucknow,Chandigarh Dark Store,Valid
6039,2,Jaipur Dark Store 6039,Bengaluru,Unknown,2602.0,2025-10-06,Bengaluru,Jaipur Dark Store,Invalid
6040,2,Bengaluru Dark Store 6040,Bengaluru,828807,3079.0,2025-07-05,Bengaluru,Bengaluru Dark Store,Valid
6041,4,Delhi Dark Store 6041,Jaipur,222791,1583.0,2024-05-30,Jaipur,Delhi Dark Store,Valid
6042,4,Jaipur Dark Store 6042,Mumbai,888718,2615.0,2021-11-29,Mumbai,Jaipur Dark Store,Valid
6043,2,Kochi Dark Store 6043,Chennai,401878,2984.0,2021-10-07,Chennai,Kochi Dark Store,Valid
6044,2,Kochi Dark Store 6044,Jaipur,759898,1863.0,2022-08-17,Jaipur,Kochi Dark Store,Valid
6045,2,Ahmedabad Dark Store 6045,Bengaluru,788783,2094.0,2025-02-14,Bengaluru,Ahmedabad Dark Store,Valid
6046,1,Hyderabad Dark Store 6046,Chandigarh,837261,1301.0,2023-08-04,Chandigarh,Hyderabad Dark Store,Valid
6047,2,Chennai Dark Store 6047,Bengaluru,136134,1185.0,2025-07-19,Bengaluru,Chennai Dark Store,Valid
6048,2,Bengaluru Dark Store 6048,Kochi,524273,2911.0,2025-05-12,Kochi,Bengaluru Dark Store,Valid
6049,3,Pune Dark Store 6049,Delhi,Unknown,3069.0,2026-08-07,Delhi,Pune Dark Store,Invalid
6050,4,Pune Dark Store 6050,Jaipur,563551,2898.0,2025-03-28,Jaipur,Pune Dark Store,Valid
6051,1,Delhi Dark Store 6051,Chennai,587706,3990.0,2023-04-15,Chennai,Delhi Dark Store,Valid
6052,4,Chandigarh Dark Store 6052,Chennai,811311,2997.0,2022-12-15,Chennai,Chandigarh Dark Store,Valid
6053,3,Delhi Dark Store 6053,Chennai,242646,3618.0,2022-05-17,Chennai,Delhi Dark Store,Valid
6054,3,Mumbai Dark Store 6054,Chandigarh,514026,1867.0,2026-02-07,Chandigarh,Mumbai Dark Store,Valid
6055,1,Chennai Dark Store 6055,Delhi,Unknown,3065.0,2021-12-17,Delhi,Chennai Dark Store,Invalid
6056,2,Mumbai Dark Store 6056,Jaipur,705864,1248.0,2024-09-26,Jaipur,Mumbai Dark Store,Valid
6057,2,Hyderabad Dark Store 6057,Chennai,831240,2975.0,2022-07-14,Chennai,Hyderabad Dark Store,Valid
6058,2,Chennai Dark Store 6058,Pune,483478,2516.0,2024-12-27,Pune,Chennai Dark Store,Valid
6059,4,Hyderabad Dark Store 6059,Ahmedabad,504000,3462.0,2025-04-17,Ahmedabad,Hyderabad Dark Store,Valid
6060,4,Jaipur Dark Store 6060,Chennai,873716,1740.0,2024-11-28,Chennai,Jaipur Dark Store,Valid
6061,2,Kolkata Dark Store 6061,Pune,843353,2516.0,2025-10-15,Pune,Kolkata Dark Store,Valid
6062,3,Kolkata Dark Store 6062,BLR,650201,3546.0,2024-10-03,Blr,Kolkata Dark Store,Valid
6063,3,Mumbai Dark Store 6063,Ahmedabad,620168,1901.0,2024-12-24,Ahmedabad,Mumbai Dark Store,Valid
6064,3,Jaipur Dark Store 6064,Pune,934072,2067.0,2022-06-01,Pune,Jaipur Dark Store,Valid
6065,4,Delhi Dark Store 6065,Ahmedabad,Unknown,3487.0,2022-11-07,Ahmedabad,Delhi Dark Store,Invalid
6066,1,Delhi Dark Store 6066,Chennai,352056,1389.0,2022-01-18,Chennai,Delhi Dark Store,Valid
6067,3,Chennai Dark Store 6067,Chandigarh,833801,3198.0,2022-12-13,Chandigarh,Chennai Dark Store,Valid
6068,2,Chandigarh Dark Store 6068,Kochi,269060,3243.0,2023-02-16,Kochi,Chandigarh Dark Store,Valid
6069,4,Bengaluru Dark Store 6069,Chennai,198296,3434.0,2025-06-13,Chennai,Bengaluru Dark Store,Valid
6070,4,Kochi Dark Store 6070,Kochi,249208,1370.0,2024-10-06,Kochi,Kochi Dark Store,Valid
6071,1,Chandigarh Dark Store 6071,Lucknow,889093,3713.0,2022-01-20,Lucknow,Chandigarh Dark Store,Valid
6072,2,Delhi Dark Store 6072,Bombay,251678,1229.0,2021-11-18,Bombay,Delhi Dark Store,Valid
6073,1,Chandigarh Dark Store 6073,Mumbai,837407,2804.0,2025-08-13,Mumbai,Chandigarh Dark Store,Valid
6074,1,Kochi Dark Store 6074,Jaipur,817414,1176.0,2022-10-20,Jaipur,Kochi Dark Store,Valid
6075,3,Delhi Dark Store 6075,Chennai,377617,3898.0,2026-03-07,Chennai,Delhi Dark Store,Valid
6076,4,Ahmedabad Dark Store 6076,Kolkata,Unknown,3600.0,2023-04-15,Kolkata,Ahmedabad Dark Store,Invalid
6077,1,Lucknow Dark Store 6077,Bengaluru,992070,3638.0,2024-01-22,Bengaluru,Lucknow Dark Store,Valid
6078,1,Ahmedabad Dark Store 6078,Mumbai,374847,1207.0,2023-12-16,Mumbai,Ahmedabad Dark Store,Valid
6079,3,Kochi Dark Store 6079,Jaipur,834170,2708.0,2023-01-28,Jaipur,Kochi Dark Store,Valid
6080,3,Delhi Dark Store 6080,Ahmedabad,Unknown,2679.0,2022-01-01,Ahmedabad,Delhi Dark Store,Invalid
6081,4,Chennai Dark Store 6081,Kolkata,284529,1663.0,2025-09-23,Kolkata,Chennai Dark Store,Valid
6082,3,Bengaluru Dark Store 6082,Lucknow,153776,2883.0,2021-10-02,Lucknow,Bengaluru Dark Store,Valid
6083,2,Ahmedabad Dark Store 6083,Ahmedabad,776426,1059.0,2023-05-08,Ahmedabad,Ahmedabad Dark Store,Valid
6084,4,Kolkata Dark Store 6084,Chennai,150556,2504.0,2022-03-25,Chennai,Kolkata Dark Store,Valid
6085,3,Mumbai Dark Store 6085,Pune,Unknown,2431.0,2023-07-31,Pune,Mumbai Dark Store,Invalid
6086,1,Kochi Dark Store 6086,Chennai,564041,1066.0,2021-11-20,Chennai,Kochi Dark Store,Valid
6087,1,Pune Dark Store 6087,Kolkata,234685,997.0,2022-07-30,Kolkata,Pune Dark Store,Valid
6088,2,Hyderabad Dark Store 6088,Chennai,606883,2092.0,2025-03-23,Chennai,Hyderabad Dark Store,Valid
6089,4,Mumbai Dark Store 6089,Chandigarh,679247,3069.0,2021-11-15,Chandigarh,Mumbai Dark Store,Valid
6090,1,Kochi Dark Store 6090,Kolkata,276544,3882.0,2022-11-27,Kolkata,Kochi Dark Store,Valid
6091,4,Mumbai Dark Store 6091,Jaipur,634786,2734.0,2022-03-24,Jaipur,Mumbai Dark Store,Valid
6092,3,Kochi Dark Store 6092,Kochi,138783,1865.0,2023-11-23,Kochi,Kochi Dark Store,Valid
6093,4,Jaipur Dark Store 6093,Chandigarh,762833,1485.0,2022-01-30,Chandigarh,Jaipur Dark Store,Valid
6094,2,Ahmedabad Dark Store 6094,Pune,815354,2643.0,2025-09-03,Pune,Ahmedabad Dark Store,Valid
6095,2,Delhi Dark Store 6095,Bengaluru,Unknown,1779.0,2023-07-07,Bengaluru,Delhi Dark Store,Invalid
6096,2,Mumbai Dark Store 6096,Kochi,Unknown,2368.0,2025-01-23,Kochi,Mumbai Dark Store,Invalid
6097,4,Chennai Dark Store 6097,Pune,143667,2840.0,2023-10-15,Pune,Chennai Dark Store,Valid
6098,2,Chandigarh Dark Store 6098,Jaipur,Unknown,1684.0,2024-01-29,Jaipur,Chandigarh Dark Store,Invalid
6099,4,Kolkata Dark Store 6099,Chandigarh,687731,2078.0,2022-09-30,Chandigarh,Kolkata Dark Store,Valid
6100,1,Bengaluru Dark Store 6100,Mumbai,817180,2738.0,2021-08-20,Mumbai,Bengaluru Dark Store,Valid
6101,1,Kolkata Dark Store 6101,Jaipur,390424,2638.0,2024-08-04,Jaipur,Kolkata Dark Store,Valid
6102,2,Jaipur Dark Store 6102,Chandigarh,111489,3756.0,2022-08-03,Chandigarh,Jaipur Dark Store,Valid
6103,4,Delhi Dark Store 6103,Jaipur,390084,805.0,2026-08-11,Jaipur,Delhi Dark Store,Valid
6104,1,Chandigarh Dark Store 6104,Kochi,537838,1324.0,2022-11-12,Kochi,Chandigarh Dark Store,Valid
6105,4,Kochi Dark Store 6105,delhi,400376,3187.0,2022-01-13,Delhi,Kochi Dark Store,Valid
6106,1,Mumbai Dark Store 6106,Jaipur,653705,2686.0,2025-03-21,Jaipur,Mumbai Dark Store,Valid
6107,2,Ahmedabad Dark Store 6107,Jaipur,630481,1590.0,2022-08-27,Jaipur,Ahmedabad Dark Store,Valid
6108,3,Mumbai Dark Store 6108,Bombay,433734,1132.0,2025-06-06,Bombay,Mumbai Dark Store,Valid
6109,3,Hyderabad Dark Store 6109,Ahmedabad,Unknown,2184.0,2024-01-20,Ahmedabad,Hyderabad Dark Store,Invalid
6110,4,Hyderabad Dark Store 6110,Mumbai,926030,2867.0,2026-07-01,Mumbai,Hyderabad Dark Store,Valid
6111,2,Chennai Dark Store 6111,Hyderabad,600267,1707.0,2026-02-13,Hyderabad,Chennai Dark Store,Valid
6112,1,Lucknow Dark Store 6112,Ahmedabad,112532,1714.0,2024-11-21,Ahmedabad,Lucknow Dark Store,Valid
6113,1,Lucknow Dark Store 6113,Bengaluru,Unknown,896.0,2022-06-23,Bengaluru,Lucknow Dark Store,Invalid
6114,1,Bengaluru Dark Store 6114,Kolkata,141561,3716.0,2024-06-07,Kolkata,Bengaluru Dark Store,Valid
6115,1,Bengaluru Dark Store 6115,Pune,654610,3472.0,2025-02-25,Pune,Bengaluru Dark Store,Valid
6116,1,Chennai Dark Store 6116,Chandigarh,587355,2331.0,2025-04-25,Chandigarh,Chennai Dark Store,Valid
6117,1,Mumbai Dark Store 6117,delhi,Unknown,1306.0,2021-10-20,Delhi,Mumbai Dark Store,Invalid
6118,4,Pune Dark Store 6118,Chennai,Unknown,2571.0,2023-06-11,Chennai,Pune Dark Store,Invalid
6119,2,Pune Dark Store 6119,Jaipur,904544,1590.0,2021-08-24,Jaipur,Pune Dark Store,Valid
6120,4,Mumbai Dark Store 6120,Chandigarh,Unknown,3361.0,2025-07-30,Chandigarh,Mumbai Dark Store,Invalid
6121,4,Delhi Dark Store 6121,Bombay,727204,3280.0,2025-09-28,Bombay,Delhi Dark Store,Valid
6122,1,Chennai Dark Store 6122,Kochi,935575,2096.0,2025-07-19,Kochi,Chennai Dark Store,Valid
6123,1,Mumbai Dark Store 6123,Hyderabad,836236,3730.0,2021-12-14,Hyderabad,Mumbai Dark Store,Valid
6124,4,Chennai Dark Store 6124,Kolkata,788526,1343.0,2026-01-17,Kolkata,Chennai Dark Store,Valid
6125,2,Lucknow Dark Store 6125,Hyderabad,491316,2108.0,2024-02-14,Hyderabad,Lucknow Dark Store,Valid
6126,1,Jaipur Dark Store 6126,Hyderabad,232679,1455.0,2026-01-31,Hyderabad,Jaipur Dark Store,Valid
6127,4,Jaipur Dark Store 6127,Jaipur,814449,2547.0,2022-12-19,Jaipur,Jaipur Dark Store,Valid
6128,3,Lucknow Dark Store 6128,NCR,437323,3707.0,2022-10-22,Ncr,Lucknow Dark Store,Valid
6129,4,Ahmedabad Dark Store 6129,Lucknow,935164,1762.0,2026-08-04,Lucknow,Ahmedabad Dark Store,Valid
6130,1,Chennai Dark Store 6130,Chennai,170107,1896.0,2026-01-16,Chennai,Chennai Dark Store,Valid
6131,2,Ahmedabad Dark Store 6131,Hyderabad,750431,1764.0,2021-11-18,Hyderabad,Ahmedabad Dark Store,Valid
6132,2,Pune Dark Store 6132,Delhi,158279,2878.0,2022-12-05,Delhi,Pune Dark Store,Valid
6133,1,Chandigarh Dark Store 6133,Ahmedabad,199530,1390.0,2023-06-22,Ahmedabad,Chandigarh Dark Store,Valid
6134,2,Ahmedabad Dark Store 6134,Pune,Unknown,2002.0,2025-09-13,Pune,Ahmedabad Dark Store,Invalid
6135,1,Pune Dark Store 6135,Jaipur,652941,2639.0,2022-08-24,Jaipur,Pune Dark Store,Valid
6136,1,Delhi Dark Store 6136,Chandigarh,871616,3339.0,2024-12-12,Chandigarh,Delhi Dark Store,Valid
6137,2,Mumbai Dark Store 6137,Hyderabad,812646,956.0,2026-07-27,Hyderabad,Mumbai Dark Store,Valid
6138,2,Mumbai Dark Store 6138,Pune,604956,2322.0,2023-09-17,Pune,Mumbai Dark Store,Valid
6139,2,Mumbai Dark Store 6139,Ahmedabad,366306,1059.0,2026-02-19,Ahmedabad,Mumbai Dark Store,Valid
6140,2,Chandigarh Dark Store 6140,Jaipur,116957,1470.0,2025-06-29,Jaipur,Chandigarh Dark Store,Valid
6141,3,Chandigarh Dark Store 6141,Chennai,Unknown,1010.0,2024-06-29,Chennai,Chandigarh Dark Store,Invalid
6142,3,Kolkata Dark Store 6142,Kolkata,Unknown,3940.0,2024-03-26,Kolkata,Kolkata Dark Store,Invalid
6143,2,Kolkata Dark Store 6143,Kochi,167342,824.0,2025-10-24,Kochi,Kolkata Dark Store,Valid
6144,1,Kolkata Dark Store 6144,Lucknow,750961,2687.0,2026-02-24,Lucknow,Kolkata Dark Store,Valid
6145,2,Chandigarh Dark Store 6145,Kolkata,396937,3348.0,2022-07-18,Kolkata,Chandigarh Dark Store,Valid
6146,2,Bengaluru Dark Store 6146,Pune,Unknown,2934.0,2022-03-30,Pune,Bengaluru Dark Store,Invalid
6147,4,Hyderabad Dark Store 6147,Chennai,308051,978.0,2023-07-30,Chennai,Hyderabad Dark Store,Valid
6148,1,Lucknow Dark Store 6148,Chandigarh,846493,3717.0,2023-10-04,Chandigarh,Lucknow Dark Store,Valid
6149,2,Chandigarh Dark Store 6149,Hyderabad,787200,3317.0,2024-09-21,Hyderabad,Chandigarh Dark Store,Valid
6150,2,Lucknow Dark Store 6150,Hyderabad,Unknown,2921.0,2025-09-06,Hyderabad,Lucknow Dark Store,Invalid
